Sequential,Short,Long,DataPackfile,Profiletable,Columnheadingdescriptioninprofile
G3367,United_States_America_2016,United_States_of_America_Year_of_arrival_2016,G10C,G10,Year of arrival: 2016
G3368,United_States_America_2017,United_States_of_America_Year_of_arrival_2017,G10C,G10,Year of arrival: 2017
G3369,United_States_America_2018,United_States_of_America_Year_of_arrival_2018,G10C,G10,Year of arrival: 2018
G3370,United_States_America_2019,United_States_of_America_Year_of_arrival_2019,G10C,G10,Year of arrival: 2019
G3371,United_States_America_2020,United_States_of_America_Year_of_arrival_2020,G10C,G10,Year of arrival: 2020
G3372,United_States_America_2021,United_States_of_America_Year_of_arrival_2021,G10C,G10,Year of arrival: 2021
G3373,USA_year_of_arrival_ns,United_States_of_America_Year_of_arrival_Not_stated,G10C,G10,Year of arrival: Not stated
G3374,USA_Total,United_States_of_America_Total,G10C,G10,Total
G3375,Vietnam_Before_1951,Vietnam_Year_of_arrival_Before_1951,G10C,G10,Year of arrival: Before 1951
G3376,Vietnam_1951_1960,Vietnam_Year_of_arrival_1951_1960,G10C,G10,Year of arrival: 1951-1960
G3377,Vietnam_1961_1970,Vietnam_Year_of_arrival_1961_1970,G10C,G10,Year of arrival: 1961-1970
G3378,Vietnam_1971_1980,Vietnam_Year_of_arrival_1971_1980,G10C,G10,Year of arrival: 1971-1980
G3379,Vietnam_1981_1990,Vietnam_Year_of_arrival_1981_1990,G10C,G10,Year of arrival: 1981-1990
G3380,Vietnam_1991_2000,Vietnam_Year_of_arrival_1991_2000,G10C,G10,Year of arrival: 1991-2000
G3381,Vietnam_2001_2010,Vietnam_Year_of_arrival_2001_2010,G10C,G10,Year of arrival: 2001-2010
G3382,Vietnam_2011_2015,Vietnam_Year_of_arrival_2011_2015,G10C,G10,Year of arrival: 2011-2015
G3383,Vietnam_2016,Vietnam_Year_of_arrival_2016,G10C,G10,Year of arrival: 2016
G3384,Vietnam_2017,Vietnam_Year_of_arrival_2017,G10C,G10,Year of arrival: 2017
G3385,Vietnam_2018,Vietnam_Year_of_arrival_2018,G10C,G10,Year of arrival: 2018
G3386,Vietnam_2019,Vietnam_Year_of_arrival_2019,G10C,G10,Year of arrival: 2019
G3387,Vietnam_2020,Vietnam_Year_of_arrival_2020,G10C,G10,Year of arrival: 2020
G3388,Vietnam_2021,Vietnam_Year_of_arrival_2021,G10C,G10,Year of arrival: 2021
G3389,Vietnam_Yr_arrival_NS,Vietnam_Year_of_arrival_Not_stated,G10C,G10,Year of arrival: Not stated
G3390,Vietnam_Tot,Vietnam_Total,G10C,G10,Total
G3391,Born_elsewhere_Before_1951,Born_elsewhere_Year_of_arrival_Before_1951,G10C,G10,Year of arrival: Before 1951
G3392,Born_elsewhere_1951_1960,Born_elsewhere_Year_of_arrival_1951_1960,G10C,G10,Year of arrival: 1951-1960
G3393,Born_elsewhere_1961_1970,Born_elsewhere_Year_of_arrival_1961_1970,G10C,G10,Year of arrival: 1961-1970
G3394,Born_elsewhere_1971_1980,Born_elsewhere_Year_of_arrival_1971_1980,G10C,G10,Year of arrival: 1971-1980
G3395,Born_elsewhere_1981_1990,Born_elsewhere_Year_of_arrival_1981_1990,G10C,G10,Year of arrival: 1981-1990
G3396,Born_elsewhere_1991_2000,Born_elsewhere_Year_of_arrival_1991_2000,G10C,G10,Year of arrival: 1991-2000
G3397,Born_elsewhere_2001_2010,Born_elsewhere_Year_of_arrival_2001_2010,G10C,G10,Year of arrival: 2001-2010
G3398,Born_elsewhere_2011_2015,Born_elsewhere_Year_of_arrival_2011_2015,G10C,G10,Year of arrival: 2011-2015
G3399,Born_elsewhere_2016,Born_elsewhere_Year_of_arrival_2016,G10C,G10,Year of arrival: 2016
G3400,Born_elsewhere_2017,Born_elsewhere_Year_of_arrival_2017,G10C,G10,Year of arrival: 2017
G3401,Born_elsewhere_2018,Born_elsewhere_Year_of_arrival_2018,G10C,G10,Year of arrival: 2018
G3402,Born_elsewhere_2019,Born_elsewhere_Year_of_arrival_2019,G10C,G10,Year of arrival: 2019
G3403,Born_elsewhere_2020,Born_elsewhere_Year_of_arrival_2020,G10C,G10,Year of arrival: 2020
G3404,Born_elsewhere_2021,Born_elsewhere_Year_of_arrival_2021,G10C,G10,Year of arrival: 2021
G3405,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Year_of_arrival_Not_stated,G10C,G10,Year of arrival: Not stated
G3406,Born_elsewhere_Tot,Born_elsewhere_Total,G10C,G10,Total
G3407,Tot_Before_1951,Total_Year_of_arrival_Before_1951,G10C,G10,Year of arrival: Before 1951
G3408,Tot_1951_1960,Total_Year_of_arrival_1951_1960,G10C,G10,Year of arrival: 1951-1960
G3409,Tot_1961_1970,Total_Year_of_arrival_1961_1970,G10C,G10,Year of arrival: 1961-1970
G3410,Tot_1971_1980,Total_Year_of_arrival_1971_1980,G10C,G10,Year of arrival: 1971-1980
G3411,Tot_1981_1990,Total_Year_of_arrival_1981_1990,G10C,G10,Year of arrival: 1981-1990
G3412,Tot_1991_2000,Total_Year_of_arrival_1991_2000,G10C,G10,Year of arrival: 1991-2000
G3413,Tot_2001_2010,Total_Year_of_arrival_2001_2010,G10C,G10,Year of arrival: 2001-2010
G3414,Tot_2011_2015,Total_Year_of_arrival_2011_2015,G10C,G10,Year of arrival: 2011-2015
G3415,Tot_2016,Total_Year_of_arrival_2016,G10C,G10,Year of arrival: 2016
G3416,Tot_2017,Total_Year_of_arrival_2017,G10C,G10,Year of arrival: 2017
G3417,Tot_2018,Total_Year_of_arrival_2018,G10C,G10,Year of arrival: 2018
G3418,Tot_2019,Total_Year_of_arrival_2019,G10C,G10,Year of arrival: 2019
G3419,Tot_2020,Total_Year_of_arrival_2020,G10C,G10,Year of arrival: 2020
G3420,Tot_2021,Total_Year_of_arrival_2021,G10C,G10,Year of arrival: 2021
G3421,Tot_Yr_arrival_NS,Total_Year_of_arrival_Not_stated,G10C,G10,Year of arrival: Not stated
G3422,Tot_Tot,Total_Total,G10C,G10,Total
G3423,A0_14_SEO_B_05,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3424,A0_14_SEO_05_10,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3425,A0_14_SEO_11_15,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3426,A0_14_SEO_16,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3427,A0_14_SEO_17,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3428,A0_14_SEO_18,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3429,A0_14_SEO_19,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3430,A0_14_SEO_20,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3431,A0_14_SEO_21,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3432,A0_14_SEO_YNS,AGED_0_14_YEARS_Speaks_English_only_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3433,A0_14_SEO_T,AGED_0_14_YEARS_Speaks_English_only_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3434,A0_14_UOLSE_VWW_B_05,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3435,A0_14_UOLSE_VWW_05_10,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3436,A0_14_UOLSE_VWW_11_15,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3437,A0_14_UOLSE_VWW_16,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3438,A0_14_UOLSE_VWW_17,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3439,A0_14_UOLSE_VWW_18,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3440,A0_14_UOLSE_VWW_19,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3441,A0_14_UOLSE_VWW_20,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3442,A0_14_UOLSE_VWW_21,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3443,A0_14_UOLSE_VWW_YNS,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3444,A0_14_UOLSE_VWW_T,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3445,A0_14_UOLSE_NWNAA_B_05,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3446,A0_14_UOLSE_NWNAA_05_10,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3447,A0_14_UOLSE_NWNAA_11_15,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3448,A0_14_UOLSE_NWNAA_16,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3449,A0_14_UOLSE_NWNAA_17,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3450,A0_14_UOLSE_NWNAA_18,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3451,A0_14_UOLSE_NWNAA_19,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3452,A0_14_UOLSE_NWNAA_20,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3453,A0_14_UOLSE_NWNAA_21,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3454,A0_14_UOLSE_NWNAA_YNS,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3455,A0_14_UOLSE_NWNAA_T,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3456,A0_14_UOLSE_PinE_NS_B_05,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3457,A0_14_UOLSE_PinE_NS_05_10,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3458,A0_14_UOLSE_PinE_NS_11_15,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3459,A0_14_UOLSE_PinE_NS_16,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3460,A0_14_UOLSE_PinE_NS_17,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3461,A0_14_UOLSE_PinE_NS_18,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3462,A0_14_UOLSE_PinE_NS_19,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3463,A0_14_UOLSE_PinE_NS_20,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3464,A0_14_UOLSE_PinE_NS_21,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3465,A0_14_UOLSE_PinE_NS_YNS,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3466,A0_14_UOLSE_PinE_NS_T,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3467,A0_14_UOLSE_T_B_05,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3468,A0_14_UOLSE_T_05_10,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3469,A0_14_UOLSE_T_11_15,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3470,A0_14_UOLSE_T_16,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3471,A0_14_UOLSE_T_17,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3472,A0_14_UOLSE_T_18,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3473,A0_14_UOLSE_T_19,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3474,A0_14_UOLSE_T_20,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3475,A0_14_UOLSE_T_21,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3476,A0_14_UOLSE_T_YNS,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3477,A0_14_UOLSE_T_T,AGED_0_14_YEARS_Uses_other_language_and_speaks_English_Total_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3478,A0_14_L_PinE_NS_B_05,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3479,A0_14_L_PinE_NS_05_10,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3480,A0_14_L_PinE_NS_11_15,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3481,A0_14_L_PinE_NS_16,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3482,A0_14_L_PinE_NS_17,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3483,A0_14_L_PinE_NS_18,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3484,A0_14_L_PinE_NS_19,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3485,A0_14_L_PinE_NS_20,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3486,A0_14_L_PinE_NS_21,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3487,A0_14_L_PinE_NS_YNS,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3488,A0_14_L_PinE_NS_T,AGED_0_14_YEARS_Language_and_proficiency_in_English_not_stated_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3489,A0_14_T_B_05,AGED_0_14_YEARS_Total_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 0-14 YEARS
G3490,A0_14_T_05_10,AGED_0_14_YEARS_Total_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 0-14 YEARS
G3491,A0_14_T_11_15,AGED_0_14_YEARS_Total_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 0-14 YEARS
G3492,A0_14_T_16,AGED_0_14_YEARS_Total_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 0-14 YEARS
G3493,A0_14_T_17,AGED_0_14_YEARS_Total_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 0-14 YEARS
G3494,A0_14_T_18,AGED_0_14_YEARS_Total_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 0-14 YEARS
G3495,A0_14_T_19,AGED_0_14_YEARS_Total_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 0-14 YEARS
G3496,A0_14_T_20,AGED_0_14_YEARS_Total_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 0-14 YEARS
G3497,A0_14_T_21,AGED_0_14_YEARS_Total_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 0-14 YEARS
G3498,A0_14_T_YNS,AGED_0_14_YEARS_Total_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 0-14 YEARS
G3499,A0_14_T_T,AGED_0_14_YEARS_Total_Total,G11A,G11a,Total|AGED 0-14 YEARS
G3500,A15_24_SEO_B_05,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 15-24 YEARS
G3501,A15_24_SEO_05_10,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 15-24 YEARS
G3502,A15_24_SEO_11_15,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 15-24 YEARS
G3503,A15_24_SEO_16,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 15-24 YEARS
G3504,A15_24_SEO_17,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 15-24 YEARS
G3505,A15_24_SEO_18,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 15-24 YEARS
G3506,A15_24_SEO_19,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 15-24 YEARS
G3507,A15_24_SEO_20,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 15-24 YEARS
G3508,A15_24_SEO_21,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 15-24 YEARS
G3509,A15_24_SEO_YNS,AGED_15_24_YEARS_Speaks_English_only_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 15-24 YEARS
G3510,A15_24_SEO_T,AGED_15_24_YEARS_Speaks_English_only_Total,G11A,G11a,Total|AGED 15-24 YEARS
G3511,A15_24_UOLSE_VWW_B_05,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 15-24 YEARS
G3512,A15_24_UOLSE_VWW_05_10,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 15-24 YEARS
G3513,A15_24_UOLSE_VWW_11_15,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 15-24 YEARS
G3514,A15_24_UOLSE_VWW_16,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 15-24 YEARS
G3515,A15_24_UOLSE_VWW_17,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 15-24 YEARS
G3516,A15_24_UOLSE_VWW_18,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 15-24 YEARS
G3517,A15_24_UOLSE_VWW_19,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 15-24 YEARS
G3518,A15_24_UOLSE_VWW_20,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 15-24 YEARS
G3519,A15_24_UOLSE_VWW_21,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 15-24 YEARS
G3520,A15_24_UOLSE_VWW_YNS,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 15-24 YEARS
G3521,A15_24_UOLSE_VWW_T,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Very_well_or_well_Total,G11A,G11a,Total|AGED 15-24 YEARS
G3522,A15_24_UOLSE_NWNAA_B_05,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 15-24 YEARS
G3523,A15_24_UOLSE_NWNAA_05_10,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 15-24 YEARS
G3524,A15_24_UOLSE_NWNAA_11_15,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2011_2015,G11A,G11a,Year of arrival: 2011_2015|AGED 15-24 YEARS
G3525,A15_24_UOLSE_NWNAA_16,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2016,G11A,G11a,Year of arrival: 2016|AGED 15-24 YEARS
G3526,A15_24_UOLSE_NWNAA_17,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2017,G11A,G11a,Year of arrival: 2017|AGED 15-24 YEARS
G3527,A15_24_UOLSE_NWNAA_18,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2018,G11A,G11a,Year of arrival: 2018|AGED 15-24 YEARS
G3528,A15_24_UOLSE_NWNAA_19,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2019,G11A,G11a,Year of arrival: 2019|AGED 15-24 YEARS
G3529,A15_24_UOLSE_NWNAA_20,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2020,G11A,G11a,Year of arrival: 2020|AGED 15-24 YEARS
G3530,A15_24_UOLSE_NWNAA_21,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_2021,G11A,G11a,Year of arrival: 2021|AGED 15-24 YEARS
G3531,A15_24_UOLSE_NWNAA_YNS,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Year_of_arrival_Not_stated,G11A,G11a,Year of arrival: Not stated|AGED 15-24 YEARS
G3532,A15_24_UOLSE_NWNAA_T,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_Total,G11A,G11a,Total|AGED 15-24 YEARS
G3533,A15_24_UOLSE_PinE_NS_B_05,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_Before_2005,G11A,G11a,Year of arrival: Before_2005|AGED 15-24 YEARS
G3534,A15_24_UOLSE_PinE_NS_05_10,AGED_15_24_YEARS_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_Year_of_arrival_2005_2010,G11A,G11a,Year of arrival: 2005_2010|AGED 15-24 YEARS
