district,M_15_19_yr_Volunteer_n,M_15_19_yr_N_a_volunteer_n,M_15_19_yr_Voluntary_work_ns_n,M_15_19_yr_Tot_n,M_20_24_yr_Volunteer_n,M_20_24_yr_N_a_volunteer_n,M_20_24_yr_Voluntary_work_ns_n,M_20_24_yr_Tot_n,M_25_34_yr_Volunteer_n,M_25_34_yr_N_a_volunteer_n,M_25_34_yr_Voluntary_work_ns_n,M_25_34_yr_Tot_n,M_35_44_yr_Volunteer_n,M_35_44_yr_N_a_volunteer_n,M_35_44_yr_Voluntary_work_ns_n,M_35_44_yr_Tot_n,M_45_54_yr_Volunteer_n,M_45_54_yr_N_a_volunteer_n,M_45_54_yr_Voluntary_work_ns_n,M_45_54_yr_Tot_n,M_55_64_yr_Volunteer_n,M_55_64_yr_N_a_volunteer_n,M_55_64_yr_Voluntary_work_ns_n,M_55_64_yr_Tot_n,M_65_74_yr_Volunteer_n,M_65_74_yr_N_a_volunteer_n,M_65_74_yr_Voluntary_work_ns_n,M_65_74_yr_Tot_n,M_75_84_yr_Volunteer_n,M_75_84_yr_N_a_volunteer_n,M_75_84_yr_Voluntary_work_ns_n,M_75_84_yr_Tot_n,M_85ov_Volunteer_n,M_85ov_N_a_volunteer_n,M_85_ov_Voluntary_work_ns_n,M_85ov_Tot_n,M_Tot_Volunteer_n,M_Tot_N_a_volunteer_n,M_Tot_Voluntary_work_ns_n,M_Tot_Tot_n,F_15_19_yr_Volunteer_n,F_15_19_yr_N_a_volunteer_n,F_15_19_yr_Voluntary_work_ns_n,F_15_19_yr_Tot_n,F_20_24_yr_Volunteer_n,F_20_24_yr_N_a_volunteer_n,F_20_24_yr_Voluntary_work_ns_n,F_20_24_yr_Tot_n,F_25_34_yr_Volunteer_n,F_25_34_yr_N_a_volunteer_n,F_25_34_yr_Voluntary_work_ns_n,F_25_34_yr_Tot_n,F_35_44_yr_Volunteer_n,F_35_44_yr_N_a_volunteer_n,F_35_44_yr_Voluntary_work_ns_n,F_35_44_yr_Tot_n,F_45_54_yr_Volunteer_n,F_45_54_yr_N_a_volunteer_n,F_45_54_yr_Voluntary_work_ns_n,F_45_54_yr_Tot_n,F_55_64_yr_Volunteer_n,F_55_64_yr_N_a_volunteer_n,F_55_64_yr_Voluntary_work_ns_n,F_55_64_yr_Tot_n,F_65_74_yr_Volunteer_n,F_65_74_yr_N_a_volunteer_n,F_65_74_yr_Voluntary_work_ns_n,F_65_74_yr_Tot_n,F_75_84_yr_Volunteer_n,F_75_84_yr_N_a_volunteer_n,F_75_84_yr_Voluntary_work_ns_n,F_75_84_yr_Tot_n,F_85ov_Volunteer_n,F_85ov_N_a_volunteer_n,F_85_ov_Voluntary_work_ns_n,F_85ov_Tot_n,F_Tot_Volunteer_n,F_Tot_N_a_volunteer_n,F_Tot_Voluntary_work_ns_n,F_Tot_Tot_n,P_15_19_yr_Volunteer_n,P_15_19_yr_N_a_volunteer_n,P_15_19_yr_Voluntary_work_ns_n,P_15_19_yr_Tot_n,P_20_24_yr_Volunteer_n,P_20_24_yr_N_a_volunteer_n,P_20_24_yr_Voluntary_work_ns_n,P_20_24_yr_Tot_n,P_25_34_yr_Volunteer_n,P_25_34_yr_N_a_volunteer_n,P_25_34_yr_Voluntary_work_ns_n,P_25_34_yr_Tot_n,P_35_44_yr_Volunteer_n,P_35_44_yr_N_a_volunteer_n,P_35_44_yr_Voluntary_work_ns_n,P_35_44_yr_Tot_n,P_45_54_yr_Volunteer_n,P_45_54_yr_N_a_volunteer_n,P_45_54_yr_Voluntary_work_ns_n,P_45_54_yr_Tot_n,P_55_64_yr_Volunteer_n,P_55_64_yr_N_a_volunteer_n,P_55_64_yr_Voluntary_work_ns_n,P_55_64_yr_Tot_n,P_65_74_yr_Volunteer_n,P_65_74_yr_N_a_volunteer_n,P_65_74_yr_Voluntary_work_ns_n,P_65_74_yr_Tot_n,P_75_84_yr_Volunteer_n,P_75_84_yr_N_a_volunteer_n,P_75_84_yr_Voluntary_work_ns_n,P_75_84_yr_Tot_n,P_85ov_Volunteer_n,P_85ov_N_a_volunteer_n,P_85_ov_Voluntary_work_ns_n,P_85ov_Tot_n,P_Tot_Volunteer_n,P_Tot_N_a_volunteer_n,P_Tot_Voluntary_work_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Gippsland East,200.0,1247.0,135.0,1668.0,63.0,1095.0,93.0,1339.0,306.0,2309.0,222.0,2887.0,433.0,2127.0,195.0,2898.0,592.0,2487.0,277.0,3441.0,907.0,3529.0,365.0,4826.0,1276.0,3850.0,385.0,5565.0,636.0,2012.0,223.0,2933.0,44.0,517.0,66.0,758.0,4724.0,19330.0,2328.0,26367.0,169.0,1174.0,132.0,1532.0,93.0,983.0,54.0,1215.0,398.0,2484.0,202.0,3186.0,641.0,2275.0,226.0,3214.0,828.0,2749.0,270.0,3887.0,1081.0,3751.0,335.0,5198.0,1479.0,3432.0,322.0,5295.0,644.0,1980.0,220.0,2963.0,75.0,708.0,152.0,1007.0,5614.0,19515.0,2255.0,27447.0,376.0,2419.0,338.0,3190.0,229.0,1977.0,187.0,2523.0,778.0,4786.0,487.0,6102.0,1185.0,4481.0,494.0,6146.0,1465.0,5252.0,563.0,7341.0,2012.0,7254.0,678.0,9995.0,2798.0,7309.0,795.0,10860.0,1287.0,4038.0,499.0,5857.0,148.0,1347.0,266.0,1791.0,10394.0,38848.0,4636.0,53831.0,53831.0
Gippsland South,141.0,1459.0,122.0,1848.0,119.0,1220.0,97.0,1522.0,274.0,2491.0,530.0,3435.0,539.0,2463.0,498.0,3600.0,723.0,2874.0,338.0,4037.0,978.0,3658.0,379.0,4897.0,1235.0,3311.0,287.0,4927.0,447.0,1670.0,170.0,2345.0,49.0,468.0,45.0,637.0,4820.0,19651.0,2824.0,27267.0,196.0,1271.0,111.0,1775.0,115.0,980.0,49.0,1272.0,406.0,2539.0,195.0,3248.0,837.0,2403.0,291.0,3543.0,925.0,3132.0,234.0,4356.0,1155.0,3817.0,244.0,5264.0,1293.0,3213.0,330.0,4844.0,532.0,1671.0,179.0,2423.0,58.0,695.0,86.0,942.0,5737.0,19855.0,2032.0,27628.0,440.0,2778.0,257.0,3559.0,309.0,2177.0,217.0,2831.0,757.0,5076.0,792.0,6638.0,1482.0,4930.0,818.0,7206.0,1690.0,6000.0,591.0,8309.0,2128.0,7400.0,642.0,10184.0,2521.0,6562.0,663.0,9711.0,1039.0,3301.0,408.0,4768.0,124.0,1249.0,194.0,1598.0,10613.0,39379.0,4824.0,54865.0,54865.0
Glen Waverley,285.0,2314.0,63.0,2765.0,381.0,2457.0,114.0,2970.0,343.0,3917.0,176.0,4535.0,495.0,4307.0,124.0,5074.0,810.0,4292.0,124.0,5294.0,620.0,3927.0,55.0,4664.0,600.0,3099.0,67.0,3951.0,429.0,2284.0,98.0,2929.0,47.0,982.0,107.0,1138.0,4431.0,27491.0,1313.0,33271.0,414.0,2011.0,40.0,2536.0,403.0,1874.0,39.0,2425.0,406.0,3536.0,126.0,4223.0,759.0,4828.0,144.0,5808.0,952.0,4719.0,97.0,5889.0,627.0,4155.0,57.0,5000.0,716.0,3748.0,96.0,4657.0,441.0,2734.0,148.0,3463.0,49.0,1293.0,228.0,1635.0,5226.0,28817.0,1462.0,35632.0,807.0,4304.0,115.0,5325.0,895.0,4291.0,183.0,5397.0,892.0,7460.0,374.0,8733.0,1297.0,9141.0,401.0,10880.0,1772.0,9005.0,326.0,11180.0,1320.0,8053.0,187.0,9605.0,1421.0,6825.0,266.0,8541.0,967.0,5016.0,294.0,6340.0,124.0,2259.0,359.0,2802.0,9687.0,56372.0,2840.0,68921.0,68921.0
Greenvale,90.0,2590.0,86.0,2927.0,110.0,2669.0,122.0,3003.0,246.0,4771.0,384.0,5511.0,250.0,4357.0,284.0,4961.0,233.0,4284.0,201.0,4833.0,217.0,4155.0,146.0,4660.0,126.0,2207.0,61.0,2485.0,29.0,948.0,24.0,1075.0,0.0,158.0,7.0,174.0,1732.0,26230.0,1675.0,29671.0,144.0,2401.0,98.0,2852.0,237.0,2492.0,125.0,2953.0,352.0,4835.0,281.0,5532.0,380.0,4646.0,273.0,5356.0,338.0,4782.0,257.0,5429.0,238.0,4009.0,141.0,4539.0,117.0,2333.0,67.0,2614.0,20.0,962.0,30.0,1080.0,0.0,243.0,3.0,258.0,2206.0,26900.0,1652.0,30656.0,291.0,5034.0,281.0,5636.0,471.0,5159.0,309.0,5970.0,663.0,9608.0,672.0,10995.0,699.0,8939.0,661.0,10277.0,588.0,9112.0,571.0,10286.0,563.0,8230.0,373.0,9108.0,291.0,4586.0,175.0,5120.0,67.0,1950.0,78.0,2201.0,3.0,482.0,10.0,518.0,3946.0,53078.0,3330.0,60324.0,60324.0
Hastings,131.0,1940.0,48.0,2218.0,111.0,1859.0,57.0,2093.0,260.0,3562.0,137.0,4083.0,415.0,3278.0,198.0,4016.0,467.0,3315.0,164.0,4039.0,565.0,3374.0,132.0,4114.0,519.0,2726.0,132.0,3421.0,230.0,1409.0,89.0,1848.0,6.0,402.0,25.0,506.0,2967.0,22011.0,1306.0,26358.0,153.0,1554.0,89.0,1958.0,134.0,1468.0,23.0,1709.0,333.0,3657.0,140.0,4242.0,666.0,3421.0,134.0,4302.0,682.0,3619.0,144.0,4585.0,631.0,3792.0,118.0,4609.0,644.0,2918.0,128.0,3781.0,288.0,1700.0,142.0,2096.0,46.0,577.0,61.0,733.0,3802.0,22777.0,1357.0,28006.0,345.0,3509.0,190.0,4128.0,302.0,3290.0,119.0,3799.0,607.0,7228.0,314.0,8240.0,1080.0,6762.0,418.0,8325.0,1214.0,6933.0,380.0,8612.0,1155.0,7199.0,298.0,8710.0,1187.0,5613.0,338.0,7218.0,580.0,3121.0,286.0,3991.0,58.0,1048.0,109.0,1285.0,6783.0,44791.0,2698.0,54234.0,54234.0
Hawthorn,340.0,1818.0,30.0,2300.0,430.0,2236.0,57.0,2782.0,629.0,4518.0,176.0,5567.0,636.0,3484.0,124.0,4321.0,1009.0,3145.0,95.0,4323.0,850.0,2802.0,61.0,3764.0,696.0,2115.0,70.0,2969.0,411.0,1209.0,31.0,1771.0,38.0,573.0,28.0,706.0,5285.0,22079.0,1117.0,28406.0,438.0,1691.0,46.0,2306.0,561.0,2178.0,67.0,2900.0,796.0,4810.0,197.0,5847.0,905.0,3727.0,105.0,4759.0,1354.0,3476.0,79.0,4953.0,958.0,3116.0,62.0,4170.0,804.0,2550.0,84.0,3550.0,377.0,1653.0,70.0,2232.0,46.0,1114.0,68.0,1270.0,6450.0,24333.0,1227.0,31985.0,870.0,3551.0,115.0,4583.0,1074.0,4395.0,155.0,5708.0,1417.0,9397.0,433.0,11248.0,1523.0,7194.0,371.0,9035.0,2367.0,6651.0,243.0,9283.0,1839.0,5892.0,163.0,7960.0,1585.0,4702.0,199.0,6497.0,875.0,2923.0,158.0,4053.0,125.0,1692.0,125.0,2013.0,11650.0,46410.0,2351.0,60451.0,60451.0
Ivanhoe,182.0,1571.0,33.0,1862.0,182.0,1658.0,80.0,1975.0,426.0,3849.0,188.0,4525.0,546.0,3880.0,164.0,4661.0,720.0,3322.0,93.0,4215.0,568.0,3066.0,73.0,3772.0,509.0,2287.0,88.0,2887.0,227.0,1255.0,35.0,1683.0,28.0,618.0,17.0,740.0,3653.0,21516.0,1099.0,26340.0,223.0,1347.0,20.0,1729.0,284.0,1550.0,47.0,1996.0,558.0,3906.0,179.0,4722.0,843.0,3897.0,144.0,4858.0,788.0,3535.0,107.0,4496.0,572.0,3389.0,93.0,4102.0,577.0,2513.0,77.0,3234.0,292.0,1639.0,58.0,2079.0,36.0,1083.0,44.0,1257.0,4470.0,22879.0,1083.0,28453.0,473.0,2977.0,71.0,3633.0,575.0,3190.0,156.0,3945.0,1036.0,7802.0,355.0,9252.0,1427.0,7776.0,365.0,9482.0,1586.0,6888.0,224.0,8768.0,1203.0,6401.0,231.0,7909.0,1140.0,4699.0,226.0,6097.0,579.0,2977.0,119.0,3685.0,88.0,1733.0,79.0,1991.0,8193.0,44450.0,2219.0,54830.0,54830.0
Kalkallo,99.0,2366.0,121.0,2797.0,77.0,2750.0,207.0,3151.0,327.0,7700.0,511.0,8661.0,633.0,7916.0,424.0,9087.0,282.0,4162.0,189.0,4878.0,165.0,3064.0,99.0,3486.0,90.0,1683.0,45.0,1956.0,28.0,523.0,27.0,650.0,4.0,78.0,15.0,106.0,2193.0,30445.0,2098.0,34754.0,103.0,2290.0,102.0,2657.0,181.0,2402.0,119.0,2820.0,504.0,8593.0,592.0,9708.0,654.0,7464.0,400.0,8565.0,329.0,4173.0,146.0,4808.0,203.0,3126.0,126.0,3627.0,101.0,1827.0,44.0,2051.0,18.0,606.0,39.0,744.0,0.0,133.0,42.0,181.0,2546.0,30603.0,1941.0,35111.0,285.0,4613.0,309.0,5350.0,363.0,5130.0,348.0,5972.0,908.0,16203.0,1141.0,18391.0,1340.0,15277.0,905.0,17627.0,645.0,8333.0,488.0,9591.0,426.0,6234.0,279.0,7055.0,241.0,3594.0,138.0,4036.0,63.0,1228.0,84.0,1419.0,4.0,252.0,66.0,328.0,4759.0,61071.0,4170.0,69989.0,69989.0
Kew,436.0,2337.0,61.0,2935.0,410.0,2140.0,39.0,2676.0,397.0,3267.0,105.0,3889.0,455.0,3175.0,97.0,3785.0,984.0,3838.0,132.0,4988.0,883.0,3628.0,78.0,4682.0,639.0,2577.0,43.0,3422.0,354.0,1502.0,53.0,2024.0,42.0,746.0,32.0,898.0,4910.0,23465.0,971.0,29330.0,508.0,2126.0,47.0,2715.0,466.0,1847.0,37.0,2460.0,490.0,3190.0,95.0,3851.0,811.0,3648.0,56.0,4649.0,1379.0,4366.0,121.0,5877.0,968.0,4010.0,63.0,5032.0,807.0,2919.0,64.0,3898.0,459.0,1967.0,92.0,2570.0,34.0,1326.0,95.0,1567.0,6036.0,25284.0,1137.0,32561.0,1023.0,4436.0,132.0,5684.0,958.0,3905.0,111.0,5062.0,900.0,6453.0,260.0,7682.0,1348.0,6883.0,234.0,8446.0,2306.0,8166.0,316.0,10878.0,1799.0,7619.0,218.0,9684.0,1530.0,5579.0,203.0,7235.0,839.0,3553.0,191.0,4611.0,103.0,2035.0,146.0,2443.0,10959.0,48710.0,2146.0,61823.0,61823.0
Kororoit,154.0,2323.0,135.0,2763.0,113.0,2326.0,398.0,2948.0,237.0,5387.0,1192.0,7044.0,445.0,6293.0,927.0,7771.0,332.0,4684.0,442.0,5514.0,221.0,3357.0,184.0,3841.0,111.0,2481.0,129.0,2776.0,39.0,1010.0,59.0,1240.0,0.0,185.0,33.0,222.0,2072.0,28156.0,3996.0,34254.0,94.0,2305.0,81.0,2619.0,233.0,2045.0,143.0,2457.0,378.0,5644.0,580.0,6732.0,486.0,6399.0,422.0,7456.0,383.0,4749.0,276.0,5474.0,228.0,3366.0,154.0,3876.0,166.0,2739.0,91.0,3085.0,29.0,1108.0,51.0,1267.0,8.0,242.0,31.0,302.0,2364.0,28623.0,2319.0,33258.0,302.0,4594.0,325.0,5381.0,434.0,4283.0,622.0,5518.0,753.0,11034.0,1826.0,13707.0,987.0,12728.0,1439.0,15298.0,745.0,9351.0,863.0,11095.0,531.0,6671.0,427.0,7681.0,358.0,5228.0,252.0,5938.0,87.0,2193.0,181.0,2490.0,12.0,480.0,73.0,583.0,4487.0,56705.0,6300.0,67602.0,67602.0
Lara,157.0,1829.0,106.0,2193.0,143.0,1891.0,174.0,2342.0,378.0,4441.0,778.0,5594.0,366.0,3353.0,556.0,4440.0,438.0,3523.0,362.0,4437.0,324.0,3418.0,237.0,4048.0,410.0,2574.0,134.0,3212.0,156.0,1373.0,99.0,1746.0,3.0,537.0,34.0,635.0,2763.0,23054.0,2901.0,28796.0,251.0,1667.0,90.0,2080.0,227.0,1800.0,95.0,2157.0,403.0,4341.0,319.0,5187.0,600.0,3567.0,235.0,4461.0,511.0,3680.0,237.0,4516.0,416.0,3530.0,119.0,4146.0,509.0,2906.0,177.0,3670.0,142.0,1705.0,150.0,2107.0,8.0,821.0,49.0,953.0,3328.0,24044.0,1851.0,29232.0,492.0,3522.0,267.0,4298.0,412.0,3697.0,315.0,4494.0,851.0,8788.0,1138.0,10753.0,1030.0,6968.0,895.0,8896.0,1011.0,7207.0,656.0,8914.0,756.0,6947.0,356.0,8142.0,957.0,5580.0,421.0,6936.0,380.0,3129.0,308.0,3926.0,34.0,1392.0,95.0,1635.0,6106.0,47181.0,4718.0,58036.0,58036.0
Laverton,54.0,1786.0,150.0,2183.0,163.0,2869.0,451.0,3677.0,580.0,8444.0,1330.0,10439.0,622.0,7943.0,923.0,9569.0,312.0,4052.0,416.0,4889.0,203.0,2893.0,214.0,3474.0,132.0,2094.0,128.0,2416.0,32.0,1056.0,54.0,1214.0,4.0,298.0,10.0,352.0,2524.0,31656.0,4121.0,38307.0,139.0,1789.0,119.0,2143.0,213.0,2264.0,184.0,2753.0,700.0,7889.0,679.0,9291.0,717.0,6886.0,525.0,8178.0,307.0,3836.0,215.0,4493.0,320.0,3016.0,112.0,3568.0,220.0,2300.0,111.0,2782.0,33.0,1219.0,76.0,1440.0,0.0,552.0,41.0,626.0,2941.0,29694.0,2521.0,35212.0,312.0,3595.0,325.0,4305.0,501.0,5114.0,780.0,6469.0,1301.0,16369.0,2136.0,19722.0,1409.0,14838.0,1531.0,17777.0,728.0,7882.0,690.0,9426.0,616.0,5906.0,466.0,7023.0,386.0,4362.0,307.0,5183.0,117.0,2351.0,173.0,2663.0,7.0,899.0,74.0,1020.0,5531.0,61326.0,6626.0,73503.0,73503.0
Lowan,322.0,1470.0,135.0,1951.0,235.0,1308.0,53.0,1692.0,572.0,2812.0,236.0,3727.0,919.0,2239.0,195.0,3390.0,1106.0,2617.0,186.0,3966.0,1398.0,3453.0,253.0,5166.0,1395.0,2981.0,337.0,4704.0,698.0,1601.0,189.0,2584.0,74.0,569.0,71.0,833.0,6794.0,18964.0,2199.0,27986.0,357.0,1169.0,85.0,1729.0,166.0,1143.0,60.0,1510.0,638.0,2715.0,134.0,3669.0,1048.0,2277.0,174.0,3586.0,1221.0,2778.0,218.0,4280.0,1329.0,3539.0,183.0,5201.0,1370.0,2923.0,269.0,4647.0,803.0,1789.0,240.0,2928.0,80.0,1069.0,232.0,1405.0,7220.0,19522.0,2067.0,28951.0,699.0,2633.0,293.0,3636.0,445.0,2479.0,156.0,3234.0,1218.0,5578.0,425.0,7332.0,1989.0,4565.0,444.0,6887.0,2347.0,5394.0,444.0,8238.0,2763.0,6990.0,566.0,10320.0,2774.0,5844.0,648.0,9261.0,1498.0,3457.0,551.0,5448.0,213.0,1723.0,318.0,2348.0,14096.0,38529.0,4344.0,56944.0,56944.0
Macedon,202.0,1648.0,131.0,2028.0,90.0,1117.0,63.0,1337.0,263.0,2257.0,131.0,2634.0,654.0,2919.0,161.0,3772.0,1021.0,3480.0,239.0,4715.0,957.0,3368.0,259.0,4638.0,959.0,2774.0,192.0,4029.0,430.0,1385.0,128.0,2053.0,14.0,330.0,44.0,464.0,4685.0,19315.0,1582.0,25644.0,258.0,1386.0,99.0,1815.0,152.0,917.0,47.0,1153.0,311.0,2292.0,124.0,2756.0,981.0,3030.0,183.0,4261.0,1271.0,3599.0,254.0,5110.0,1077.0,3489.0,220.0,4784.0,1037.0,2850.0,207.0,4170.0,436.0,1314.0,120.0,1926.0,14.0,497.0,91.0,692.0,5644.0,19409.0,1652.0,26749.0,524.0,3024.0,286.0,3815.0,263.0,2038.0,133.0,2503.0,633.0,4474.0,270.0,5437.0,1612.0,6031.0,360.0,8100.0,2282.0,7096.0,505.0,9900.0,2014.0,6884.0,532.0,9423.0,2008.0,5682.0,463.0,8156.0,898.0,2745.0,286.0,3943.0,49.0,862.0,156.0,1121.0,10407.0,38764.0,3228.0,52421.0,52421.0
Malvern,226.0,1373.0,35.0,1754.0,324.0,1789.0,56.0,2218.0,568.0,3989.0,211.0,4839.0,452.0,3206.0,105.0,3868.0,875.0,2933.0,93.0,4000.0,662.0,2576.0,81.0,3386.0,548.0,2208.0,70.0,2891.0,337.0,1528.0,73.0,2039.0,41.0,544.0,65.0,764.0,4365.0,20142.0,1157.0,25685.0,323.0,1462.0,32.0,1868.0,442.0,1810.0,54.0,2411.0,620.0,4261.0,146.0,5105.0,665.0,3364.0,105.0,4221.0,1131.0,3297.0,103.0,4565.0,800.0,2959.0,82.0,3975.0,838.0,2655.0,71.0,3552.0,392.0,1883.0,86.0,2432.0,38.0,1018.0,112.0,1301.0,5353.0,22784.0,1285.0,29428.0,588.0,2852.0,90.0,3561.0,821.0,3627.0,132.0,4646.0,1183.0,8255.0,401.0,9943.0,1233.0,6577.0,321.0,8093.0,1997.0,6220.0,255.0,8517.0,1540.0,5606.0,241.0,7341.0,1455.0,4810.0,239.0,6513.0,831.0,3311.0,250.0,4466.0,119.0,1678.0,219.0,2040.0,9753.0,42892.0,2449.0,55060.0,55060.0
Melbourne,306.0,1901.0,138.0,2438.0,1593.0,7814.0,774.0,10316.0,2263.0,16871.0,1800.0,20921.0,914.0,7440.0,793.0,9352.0,551.0,3411.0,397.0,4576.0,462.0,2471.0,241.0,3383.0,403.0,1711.0,127.0,2327.0,132.0,712.0,64.0,1033.0,11.0,220.0,11.0,256.0,7028.0,42753.0,4830.0,54581.0,578.0,2239.0,190.0,3043.0,2370.0,8417.0,848.0,11625.0,2582.0,16347.0,1680.0,20752.0,1103.0,6474.0,581.0,8221.0,652.0,3319.0,285.0,4402.0,542.0,2619.0,205.0,3524.0,468.0,1729.0,132.0,2415.0,124.0,769.0,61.0,1039.0,7.0,421.0,16.0,494.0,8790.0,42388.0,4442.0,55702.0,920.0,4109.0,387.0,5556.0,3955.0,16304.0,1658.0,21894.0,4853.0,33150.0,3548.0,41588.0,2099.0,13881.0,1520.0,17578.0,1360.0,6779.0,767.0,8948.0,1143.0,5123.0,523.0,6854.0,867.0,3450.0,321.0,4761.0,297.0,1542.0,144.0,2141.0,24.0,700.0,34.0,883.0,15884.0,85203.0,9292.0,110285.0,110285.0
Melton,117.0,2068.0,145.0,2425.0,94.0,2183.0,146.0,2540.0,269.0,5579.0,527.0,6453.0,543.0,5600.0,443.0,6632.0,270.0,3918.0,286.0,4568.0,162.0,2958.0,145.0,3459.0,211.0,2362.0,102.0,2836.0,61.0,1001.0,54.0,1164.0,0.0,133.0,5.0,181.0,2188.0,25860.0,2207.0,30226.0,146.0,2000.0,170.0,2354.0,120.0,2057.0,145.0,2430.0,432.0,6176.0,508.0,7211.0,594.0,5513.0,423.0,6633.0,422.0,3808.0,270.0,4581.0,320.0,3182.0,159.0,3742.0,269.0,2568.0,119.0,3101.0,53.0,992.0,79.0,1181.0,3.0,272.0,19.0,334.0,2635.0,26657.0,2258.0,31668.0,354.0,4054.0,349.0,4774.0,291.0,4256.0,363.0,4965.0,758.0,11715.0,1084.0,13660.0,1176.0,11074.0,959.0,13167.0,788.0,7757.0,619.0,9174.0,531.0,6145.0,377.0,7152.0,533.0,4952.0,269.0,5859.0,133.0,1944.0,149.0,2365.0,0.0,488.0,35.0,592.0,4914.0,52483.0,4519.0,61884.0,61884.0
Mildura,217.0,1551.0,175.0,2028.0,122.0,1567.0,93.0,1975.0,436.0,3588.0,422.0,4500.0,575.0,3041.0,382.0,4002.0,729.0,3089.0,366.0,4211.0,791.0,3465.0,397.0,4698.0,793.0,2879.0,286.0,3973.0,322.0,1504.0,160.0,2060.0,27.0,550.0,60.0,723.0,4320.0,21222.0,2759.0,28245.0,239.0,1399.0,139.0,1841.0,130.0,1350.0,110.0,1734.0,488.0,3656.0,363.0,4570.0,736.0,3031.0,346.0,4103.0,808.0,3265.0,275.0,4363.0,833.0,3491.0,252.0,4744.0,822.0,2796.0,265.0,3912.0,390.0,1582.0,186.0,2302.0,27.0,1015.0,132.0,1269.0,4793.0,21564.0,2533.0,28872.0,522.0,2965.0,387.0,3886.0,372.0,2980.0,280.0,3743.0,986.0,7292.0,857.0,9102.0,1366.0,6012.0,709.0,8130.0,1553.0,6328.0,725.0,8602.0,1708.0,6997.0,701.0,9406.0,1591.0,5611.0,619.0,7838.0,782.0,3153.0,423.0,4466.0,83.0,1570.0,255.0,1987.0,9067.0,42784.0,5254.0,57116.0,57116.0
Mill Park,87.0,1997.0,69.0,2258.0,105.0,2144.0,59.0,2385.0,250.0,4512.0,245.0,5059.0,349.0,4341.0,178.0,4940.0,257.0,3890.0,137.0,4384.0,213.0,3610.0,113.0,4023.0,168.0,2300.0,77.0,2662.0,27.0,926.0,111.0,1145.0,0.0,245.0,84.0,354.0,1831.0,23973.0,1454.0,27294.0,122.0,1733.0,38.0,2073.0,178.0,1784.0,41.0,2120.0,334.0,4500.0,179.0,5010.0,508.0,4269.0,164.0,4956.0,335.0,4312.0,106.0,4829.0,210.0,3999.0,109.0,4469.0,198.0,2387.0,115.0,2800.0,39.0,1074.0,164.0,1362.0,0.0,469.0,224.0,722.0,2235.0,24603.0,1508.0,28407.0,295.0,3772.0,169.0,4291.0,351.0,3929.0,131.0,4579.0,627.0,8930.0,465.0,10098.0,827.0,8663.0,426.0,9966.0,645.0,8198.0,324.0,9211.0,529.0,7589.0,281.0,8455.0,455.0,4739.0,251.0,5426.0,91.0,2018.0,324.0,2537.0,4.0,767.0,312.0,1122.0,4134.0,48591.0,2978.0,55703.0,55703.0
Monbulk,208.0,1847.0,49.0,2231.0,173.0,1523.0,49.0,1822.0,308.0,2929.0,160.0,3517.0,691.0,3411.0,133.0,4320.0,933.0,3777.0,159.0,4921.0,763.0,3552.0,117.0,4472.0,714.0,2657.0,100.0,3459.0,207.0,1123.0,55.0,1539.0,0.0,291.0,17.0,334.0,4298.0,21147.0,1215.0,26638.0,214.0,1536.0,32.0,1906.0,255.0,1218.0,21.0,1556.0,479.0,2913.0,98.0,3562.0,933.0,3445.0,132.0,4631.0,1175.0,3803.0,170.0,5112.0,859.0,3621.0,116.0,4674.0,849.0,2523.0,87.0,3500.0,242.0,1200.0,61.0,1515.0,36.0,443.0,31.0,515.0,5287.0,20735.0,1134.0,27148.0,504.0,3428.0,134.0,4157.0,511.0,2764.0,109.0,3404.0,850.0,5828.0,295.0,7022.0,1700.0,6851.0,317.0,8909.0,2066.0,7568.0,383.0,10061.0,1695.0,7200.0,275.0,9167.0,1599.0,5142.0,204.0,6995.0,536.0,2350.0,128.0,3049.0,51.0,756.0,43.0,913.0,9604.0,41802.0,2320.0,53781.0,53781.0
Mordialloc,201.0,2030.0,24.0,2260.0,190.0,1802.0,43.0,2047.0,283.0,3559.0,101.0,3988.0,585.0,4408.0,142.0,5205.0,776.0,4289.0,100.0,5290.0,493.0,3516.0,98.0,4209.0,374.0,2262.0,45.0,2815.0,132.0,1158.0,29.0,1443.0,13.0,432.0,8.0,512.0,3312.0,23592.0,932.0,27785.0,201.0,1842.0,28.0,2194.0,273.0,1593.0,19.0,1924.0,344.0,3714.0,112.0,4286.0,826.0,4781.0,133.0,5765.0,840.0,4783.0,117.0,5838.0,539.0,3762.0,69.0,4418.0,458.0,2572.0,73.0,3133.0,224.0,1544.0,75.0,1931.0,13.0,841.0,29.0,948.0,4083.0,25511.0,942.0,30538.0,467.0,3898.0,88.0,4530.0,505.0,3358.0,80.0,4009.0,753.0,7283.0,309.0,8310.0,1464.0,9128.0,337.0,10920.0,1639.0,9098.0,258.0,11019.0,1055.0,7283.0,217.0,8651.0,909.0,4877.0,152.0,5930.0,445.0,2751.0,162.0,3439.0,32.0,1330.0,69.0,1501.0,7323.0,49059.0,1905.0,58386.0,58386.0
