district,A_0_4_y_Indigenous_M_n,A_0_4_y_Indigenous_F_n,A_0_4_y_Indigenous_P_n,A_0_4_y_Non_Indigenous_M_n,A_0_4_y_Non_Indigenous_F_n,A_0_4_y_Non_Indigenous_P_n,A_0_4_y_Indig_stat_ns_M_n,A_0_4_y_Indig_stat_ns_F_n,A_0_4_y_Indig_stat_ns_P_n,A_0_4_y_Tot_M_n,A_0_4_y_Tot_F_n,A_0_4_y_Tot_P_n,A_5_9_y_Indigenous_M_n,A_5_9_y_Indigenous_F_n,A_5_9_y_Indigenous_P_n,A_5_9_y_Non_Indigenous_M_n,A_5_9_y_Non_Indigenous_F_n,A_5_9_y_Non_Indigenous_P_n,A_5_9_y_Indig_stat_ns_M_n,A_5_9_y_Indig_stat_ns_F_n,A_5_9_y_Indig_stat_ns_P_n,A_5_9_y_Tot_M_n,A_5_9_y_Tot_F_n,A_5_9_y_Tot_P_n,A_10_14_y_Indigenous_M_n,A_10_14_y_Indigenous_F_n,A_10_14_y_Indigenous_P_n,A_10_14_y_Non_Indig_M_n,A_10_14_y_Non_Indig_F_n,A_10_14_y_Non_Indig_P_n,A_10_14_y_Indig_stat_ns_M_n,A_10_14_y_Indig_stat_ns_F_n,A_10_14_y_Indig_stat_ns_P_n,A_10_14_y_Tot_M_n,A_10_14_y_Tot_F_n,A_10_14_y_Tot_P_n,A_15_19_y_Indigenous_M_n,A_15_19_y_Indigenous_F_n,A_15_19_y_Indigenous_P_n,A_15_19_y_Non_Indig_M_n,A_15_19_y_Non_Indig_F_n,A_15_19_y_Non_Indig_P_n,A_15_19_y_Indig_stat_ns_M_n,A_15_19_y_Indig_stat_ns_F_n,A_15_19_y_Indig_stat_ns_P_n,A_15_19_y_Tot_M_n,A_15_19_y_Tot_F_n,A_15_19_y_Tot_P_n,A_20_24_y_Indigenous_M_n,A_20_24_y_Indigenous_F_n,A_20_24_y_Indigenous_P_n,A_20_24_y_Non_Indig_M_n,A_20_24_y_Non_Indig_F_n,A_20_24_y_Non_Indig_P_n,A_20_24_y_Indig_stat_ns_M_n,A_20_24_y_Indig_stat_ns_F_n,A_20_24_y_Indig_stat_ns_P_n,A_20_24_y_Tot_M_n,A_20_24_y_Tot_F_n,A_20_24_y_Tot_P_n,A_25_29_y_Indigenous_M_n,A_25_29_y_Indigenous_F_n,A_25_29_y_Indigenous_P_n,A_25_29_y_Non_Indig_M_n,A_25_29_y_Non_Indig_F_n,A_25_29_y_Non_Indig_P_n,A_25_29_y_Indig_stat_ns_M_n,A_25_29_y_Indig_stat_ns_F_n,A_25_29_y_Indig_stat_ns_P_n,A_25_29_y_Tot_M_n,A_25_29_y_Tot_F_n,A_25_29_y_Tot_P_n,A_30_34_y_Indigenous_M_n,A_30_34_y_Indigenous_F_n,A_30_34_y_Indigenous_P_n,A_30_34_y_Non_Indig_M_n,A_30_34_y_Non_Indig_F_n,A_30_34_y_Non_Indig_P_n,A_30_34_y_Indig_stat_ns_M_n,A_30_34_y_Indig_stat_ns_F_n,A_30_34_y_Indig_stat_ns_P_n,A_30_34_y_Tot_M_n,A_30_34_y_Tot_F_n,A_30_34_y_Tot_P_n,A_35_39_y_Indigenous_M_n,A_35_39_y_Indigenous_F_n,A_35_39_y_Indigenous_P_n,A_35_39_y_Non_Indig_M_n,A_35_39_y_Non_Indig_F_n,A_35_39_y_Non_Indig_P_n,A_35_39_y_Indig_stat_ns_M_n,A_35_39_y_Indig_stat_ns_F_n,A_35_39_y_Indig_stat_ns_P_n,A_35_39_y_Tot_M_n,A_35_39_y_Tot_F_n,A_35_39_y_Tot_P_n,A_40_44_y_Indigenous_M_n,A_40_44_y_Indigenous_F_n,A_40_44_y_Indigenous_P_n,A_40_44_y_Non_Indig_M_n,A_40_44_y_Non_Indig_F_n,A_40_44_y_Non_Indig_P_n,A_40_44_y_Indig_stat_ns_M_n,A_40_44_y_Indig_stat_ns_F_n,A_40_44_y_Indig_stat_ns_P_n,A_40_44_y_Tot_M_n,A_40_44_y_Tot_F_n,A_40_44_y_Tot_P_n,A_45_49_y_Indigenous_M_n,A_45_49_y_Indigenous_F_n,A_45_49_y_Indigenous_P_n,A_45_49_y_Non_Indig_M_n,A_45_49_y_Non_Indig_F_n,A_45_49_y_Non_Indig_P_n,A_45_49_y_Indig_stat_ns_M_n,A_45_49_y_Indig_stat_ns_F_n,A_45_49_y_Indig_stat_ns_P_n,A_45_49_y_Tot_M_n,A_45_49_y_Tot_F_n,A_45_49_y_Tot_P_n,A_50_54_y_Indigenous_M_n,A_50_54_y_Indigenous_F_n,A_50_54_y_Indigenous_P_n,A_50_54_y_Non_Indig_M_n,A_50_54_y_Non_Indig_F_n,A_50_54_y_Non_Indig_P_n,A_50_54_y_Indig_stat_ns_M_n,A_50_54_y_Indig_stat_ns_F_n,A_50_54_y_Indig_stat_ns_P_n,A_50_54_y_Tot_M_n,A_50_54_y_Tot_F_n,A_50_54_y_Tot_P_n,A_55_59_y_Indigenous_M_n,A_55_59_y_Indigenous_F_n,A_55_59_y_Indigenous_P_n,A_55_59_y_Non_Indig_M_n,A_55_59_y_Non_Indig_F_n,A_55_59_y_Non_Indig_P_n,A_55_59_y_Indig_stat_ns_M_n,A_55_59_y_Indig_stat_ns_F_n,A_55_59_y_Indig_stat_ns_P_n,A_55_59_y_Tot_M_n,A_55_59_y_Tot_F_n,A_55_59_y_Tot_P_n,A_60_64_y_Indigenous_M_n,A_60_64_y_Indigenous_F_n,A_60_64_y_Indigenous_P_n,A_60_64_y_Non_Indig_M_n,A_60_64_y_Non_Indig_F_n,A_60_64_y_Non_Indig_P_n,A_60_64_y_Indig_stat_ns_M_n,A_60_64_y_Indig_stat_ns_F_n,A_60_64_y_Indig_stat_ns_P_n,A_60_64_y_Tot_M_n,A_60_64_y_Tot_F_n,A_60_64_y_Tot_P_n,A_65_y_ov_Indigenous_M_n,A_65_y_ov_Indigenous_F_n,A_65_y_ov_Indigenous_P_n,A_65_y_ov_Non_Indig_M_n,A_65_y_ov_Non_Indig_F_n,A_65_y_ov_Non_Indig_P_n,A_65_y_ov_Indig_stat_ns_M_n,A_65_y_ov_Indig_stat_ns_F_n,A_65_y_ov_Indig_stat_ns_P_n,A_65_y_ov_Tot_M_n,A_65_y_ov_Tot_F_n,A_65_y_ov_Tot_P_n,Tot_Indigenous_M_n,Tot_Indigenous_F_n,Tot_Indigenous_P_n,Tot_Non_Indigenous_M_n,Tot_Non_Indigenous_F_n,Tot_Non_Indigenous_P_n,Tot_Indig_status_ns_M_n,Tot_Indig_status_ns_F_n,Tot_Indig_status_ns_P_n,Tot_Tot_M_n,Tot_Tot_F_n,Tot_Tot_P_n,Tot_Tot_P_total
Eildon,11.0,12.0,60.0,1480.0,1371.0,2889.0,37.0,54.0,121.0,1677.0,1518.0,3186.0,24.0,18.0,75.0,1713.0,1622.0,3303.0,96.0,58.0,216.0,1962.0,1789.0,3652.0,25.0,29.0,88.0,1957.0,1933.0,3902.0,106.0,92.0,283.0,2175.0,2064.0,4283.0,23.0,23.0,56.0,1865.0,1634.0,3452.0,80.0,58.0,219.0,2026.0,1770.0,3800.0,3.0,29.0,44.0,1469.0,1313.0,2784.0,78.0,62.0,166.0,1663.0,1445.0,3059.0,7.0,8.0,29.0,1446.0,1449.0,2904.0,68.0,70.0,173.0,1559.0,1577.0,3166.0,3.0,0.0,21.0,1534.0,1605.0,3091.0,50.0,66.0,180.0,1624.0,1711.0,3315.0,0.0,0.0,3.0,1609.0,1787.0,3348.0,70.0,67.0,187.0,1720.0,1940.0,3631.0,0.0,3.0,9.0,1613.0,1770.0,3395.0,91.0,58.0,211.0,1833.0,1905.0,3673.0,14.0,5.0,32.0,1971.0,2090.0,3986.0,116.0,152.0,303.0,2136.0,2278.0,4351.0,0.0,9.0,32.0,2208.0,2260.0,4438.0,121.0,93.0,309.0,2419.0,2398.0,4810.0,12.0,3.0,22.0,2243.0,2385.0,4668.0,104.0,135.0,262.0,2446.0,2567.0,5075.0,0.0,3.0,15.0,2395.0,2591.0,5029.0,152.0,109.0,312.0,2662.0,2771.0,5435.0,13.0,11.0,41.0,6743.0,6947.0,13742.0,392.0,394.0,889.0,7266.0,7392.0,14743.0,510.0,514.0,993.0,30430.0,30510.0,60890.0,2207.0,2085.0,4312.0,33148.0,33076.0,66227.0,66227.0
Eltham,6.0,10.0,21.0,1784.0,1728.0,3497.0,15.0,16.0,66.0,1834.0,1808.0,3569.0,6.0,4.0,11.0,2101.0,2109.0,4245.0,21.0,23.0,74.0,2151.0,2190.0,4434.0,0.0,7.0,14.0,2260.0,2144.0,4453.0,21.0,11.0,42.0,2337.0,2201.0,4584.0,9.0,5.0,12.0,2211.0,2068.0,4270.0,18.0,12.0,48.0,2274.0,2087.0,4351.0,0.0,0.0,13.0,1885.0,1665.0,3510.0,8.0,13.0,29.0,1949.0,1722.0,3610.0,0.0,0.0,0.0,1387.0,1304.0,2686.0,9.0,3.0,17.0,1439.0,1357.0,2784.0,3.0,4.0,7.0,1512.0,1613.0,3240.0,6.0,20.0,49.0,1591.0,1675.0,3294.0,5.0,0.0,5.0,1904.0,2099.0,4053.0,22.0,12.0,60.0,2001.0,2193.0,4166.0,9.0,3.0,8.0,2105.0,2305.0,4362.0,9.0,7.0,51.0,2147.0,2373.0,4454.0,0.0,0.0,0.0,2340.0,2546.0,4869.0,15.0,25.0,51.0,2419.0,2576.0,4962.0,0.0,0.0,0.0,2287.0,2474.0,4746.0,19.0,12.0,55.0,2355.0,2506.0,4893.0,0.0,0.0,0.0,2186.0,2422.0,4552.0,7.0,9.0,42.0,2227.0,2458.0,4681.0,0.0,0.0,6.0,2143.0,2324.0,4457.0,9.0,24.0,57.0,2196.0,2389.0,4655.0,0.0,0.0,15.0,5354.0,6160.0,11572.0,157.0,160.0,381.0,5614.0,6376.0,11984.0,169.0,155.0,347.0,31435.0,33008.0,64482.0,729.0,684.0,1437.0,32366.0,33983.0,66366.0,66366.0
Essendon,5.0,6.0,4.0,1654.0,1591.0,3238.0,39.0,29.0,90.0,1742.0,1687.0,3406.0,0.0,5.0,8.0,1902.0,1708.0,3560.0,37.0,36.0,94.0,1964.0,1788.0,3714.0,8.0,1.0,26.0,1838.0,1720.0,3565.0,37.0,23.0,80.0,1925.0,1780.0,3720.0,0.0,0.0,8.0,1825.0,1659.0,3401.0,32.0,23.0,84.0,1883.0,1725.0,3547.0,11.0,3.0,22.0,2214.0,2394.0,4675.0,68.0,52.0,173.0,2326.0,2484.0,4944.0,16.0,3.0,25.0,2996.0,2976.0,5943.0,76.0,123.0,287.0,3126.0,3178.0,6326.0,0.0,0.0,4.0,2765.0,3099.0,5916.0,85.0,96.0,241.0,2920.0,3291.0,6231.0,3.0,0.0,7.0,2611.0,2779.0,5316.0,79.0,64.0,168.0,2732.0,2896.0,5584.0,4.0,0.0,7.0,2249.0,2423.0,4684.0,48.0,49.0,131.0,2370.0,2523.0,4899.0,0.0,0.0,0.0,2198.0,2463.0,4635.0,45.0,32.0,160.0,2282.0,2608.0,4840.0,0.0,3.0,10.0,2259.0,2322.0,4601.0,44.0,54.0,139.0,2369.0,2464.0,4783.0,0.0,0.0,0.0,1942.0,2045.0,4013.0,55.0,30.0,129.0,2017.0,2117.0,4211.0,0.0,0.0,0.0,1725.0,1992.0,3767.0,32.0,22.0,93.0,1815.0,2107.0,3935.0,4.0,0.0,4.0,4461.0,5348.0,9757.0,127.0,153.0,397.0,4638.0,5561.0,10237.0,132.0,138.0,332.0,32565.0,34576.0,67157.0,1339.0,1358.0,2729.0,34093.0,36048.0,70183.0,70183.0
Eureka,27.0,37.0,129.0,2102.0,2027.0,4166.0,79.0,81.0,174.0,2286.0,2203.0,4463.0,36.0,44.0,126.0,2443.0,2235.0,4634.0,90.0,60.0,223.0,2642.0,2431.0,5053.0,33.0,50.0,124.0,2440.0,2281.0,4614.0,112.0,60.0,239.0,2621.0,2441.0,5048.0,23.0,29.0,62.0,2042.0,1928.0,3995.0,62.0,81.0,187.0,2217.0,2075.0,4332.0,7.0,9.0,37.0,1952.0,1870.0,3842.0,58.0,55.0,161.0,2111.0,2044.0,4095.0,18.0,13.0,38.0,2193.0,2191.0,4454.0,98.0,63.0,215.0,2399.0,2389.0,4777.0,15.0,21.0,46.0,2229.0,2352.0,4548.0,47.0,51.0,195.0,2379.0,2516.0,4861.0,9.0,6.0,29.0,2296.0,2459.0,4738.0,60.0,62.0,166.0,2416.0,2601.0,4990.0,3.0,0.0,24.0,2214.0,2390.0,4530.0,62.0,58.0,174.0,2349.0,2507.0,4807.0,10.0,4.0,21.0,2168.0,2365.0,4487.0,68.0,75.0,183.0,2308.0,2480.0,4813.0,13.0,5.0,27.0,2271.0,2348.0,4630.0,109.0,62.0,227.0,2431.0,2491.0,4877.0,4.0,0.0,11.0,2135.0,2250.0,4405.0,73.0,77.0,170.0,2242.0,2391.0,4682.0,3.0,7.0,15.0,2070.0,2261.0,4332.0,49.0,29.0,113.0,2183.0,2391.0,4592.0,10.0,0.0,26.0,5848.0,6685.0,12572.0,328.0,269.0,656.0,6249.0,7025.0,13313.0,579.0,586.0,1200.0,34240.0,35596.0,69798.0,1828.0,1710.0,3572.0,36670.0,37903.0,74592.0,74592.0
Euroa,45.0,73.0,171.0,1445.0,1338.0,2808.0,50.0,64.0,195.0,1654.0,1584.0,3221.0,64.0,38.0,140.0,1565.0,1486.0,3065.0,114.0,97.0,251.0,1846.0,1688.0,3508.0,47.0,51.0,127.0,1673.0,1558.0,3261.0,96.0,132.0,280.0,1872.0,1835.0,3745.0,33.0,28.0,82.0,1708.0,1433.0,3109.0,95.0,102.0,291.0,1916.0,1638.0,3534.0,18.0,24.0,67.0,1611.0,1249.0,2876.0,90.0,70.0,189.0,1750.0,1383.0,3160.0,17.0,22.0,61.0,1421.0,1499.0,2952.0,58.0,65.0,180.0,1639.0,1637.0,3299.0,24.0,21.0,59.0,1574.0,1616.0,3168.0,88.0,76.0,241.0,1773.0,1766.0,3549.0,16.0,0.0,40.0,1476.0,1530.0,3058.0,77.0,107.0,236.0,1684.0,1752.0,3443.0,11.0,3.0,16.0,1454.0,1610.0,3127.0,86.0,64.0,234.0,1645.0,1743.0,3425.0,3.0,3.0,9.0,1718.0,1859.0,3588.0,120.0,128.0,282.0,1923.0,2082.0,3968.0,5.0,3.0,24.0,2046.0,2154.0,4235.0,161.0,99.0,333.0,2269.0,2378.0,4641.0,9.0,6.0,23.0,2288.0,2322.0,4558.0,145.0,153.0,371.0,2483.0,2598.0,5017.0,0.0,3.0,9.0,2323.0,2467.0,4843.0,152.0,154.0,316.0,2634.0,2689.0,5288.0,7.0,11.0,43.0,7649.0,7850.0,15545.0,561.0,521.0,1161.0,8273.0,8471.0,16792.0,665.0,677.0,1369.0,30129.0,30040.0,60167.0,2645.0,2424.0,5071.0,33410.0,33161.0,66608.0,66608.0
Evelyn,7.0,8.0,30.0,2176.0,2131.0,4295.0,22.0,25.0,67.0,2284.0,2191.0,4538.0,18.0,7.0,55.0,2210.0,2095.0,4306.0,19.0,23.0,63.0,2328.0,2158.0,4484.0,22.0,18.0,52.0,2199.0,1982.0,4206.0,47.0,41.0,107.0,2307.0,2078.0,4423.0,20.0,23.0,54.0,2108.0,2006.0,4041.0,46.0,22.0,90.0,2205.0,2097.0,4301.0,12.0,9.0,31.0,2012.0,1942.0,3890.0,18.0,25.0,61.0,2071.0,1999.0,4009.0,3.0,6.0,9.0,1999.0,1989.0,4018.0,28.0,13.0,76.0,2096.0,2080.0,4205.0,9.0,4.0,13.0,2342.0,2380.0,4742.0,12.0,38.0,83.0,2408.0,2461.0,4970.0,0.0,0.0,5.0,2309.0,2465.0,4781.0,34.0,7.0,69.0,2396.0,2519.0,4907.0,6.0,0.0,14.0,2081.0,2061.0,4192.0,20.0,44.0,72.0,2162.0,2133.0,4319.0,5.0,0.0,14.0,2064.0,2242.0,4310.0,32.0,21.0,76.0,2206.0,2337.0,4513.0,9.0,0.0,8.0,2097.0,2328.0,4420.0,18.0,17.0,97.0,2165.0,2384.0,4615.0,2.0,3.0,5.0,2044.0,2098.0,4181.0,18.0,37.0,88.0,2111.0,2181.0,4328.0,0.0,5.0,5.0,1868.0,2002.0,3883.0,25.0,19.0,103.0,1959.0,2067.0,4034.0,0.0,14.0,24.0,5153.0,6006.0,11098.0,114.0,129.0,304.0,5311.0,6183.0,11455.0,334.0,301.0,694.0,32755.0,33732.0,66544.0,965.0,861.0,1806.0,34136.0,34930.0,69146.0,69146.0
Footscray,6.0,5.0,14.0,2088.0,1964.0,4034.0,32.0,25.0,65.0,2181.0,2056.0,4149.0,0.0,3.0,10.0,1876.0,1681.0,3605.0,44.0,26.0,101.0,1951.0,1765.0,3753.0,0.0,0.0,3.0,1550.0,1411.0,3101.0,46.0,31.0,104.0,1669.0,1489.0,3247.0,4.0,8.0,16.0,1286.0,1288.0,2658.0,20.0,16.0,68.0,1381.0,1333.0,2801.0,0.0,0.0,14.0,2272.0,2237.0,4445.0,78.0,68.0,193.0,2355.0,2350.0,4721.0,17.0,12.0,59.0,3715.0,3638.0,7366.0,177.0,156.0,369.0,3979.0,3890.0,7839.0,10.0,7.0,34.0,4075.0,4030.0,8126.0,189.0,158.0,406.0,4341.0,4286.0,8619.0,10.0,5.0,21.0,3612.0,3502.0,7033.0,147.0,77.0,307.0,3800.0,3628.0,7490.0,0.0,5.0,9.0,2781.0,2741.0,5579.0,81.0,41.0,206.0,2934.0,2849.0,5792.0,0.0,0.0,0.0,2438.0,2512.0,4901.0,80.0,32.0,164.0,2528.0,2603.0,5118.0,0.0,0.0,0.0,2044.0,2043.0,4074.0,50.0,50.0,100.0,2128.0,2158.0,4316.0,0.0,0.0,6.0,1706.0,1768.0,3433.0,56.0,33.0,131.0,1838.0,1834.0,3620.0,0.0,0.0,0.0,1575.0,1630.0,3125.0,42.0,16.0,68.0,1645.0,1693.0,3306.0,3.0,0.0,10.0,3364.0,4008.0,7363.0,166.0,206.0,385.0,3582.0,4226.0,7834.0,246.0,187.0,483.0,34312.0,34504.0,68803.0,1760.0,1468.0,3256.0,36338.0,36202.0,72600.0,72600.0
Frankston,30.0,12.0,88.0,1745.0,1710.0,3479.0,82.0,71.0,182.0,1927.0,1904.0,3844.0,18.0,22.0,68.0,1903.0,1731.0,3630.0,76.0,51.0,189.0,2053.0,1896.0,4012.0,40.0,33.0,78.0,1803.0,1789.0,3561.0,50.0,97.0,195.0,1935.0,1914.0,3871.0,15.0,23.0,61.0,1763.0,1621.0,3374.0,62.0,75.0,174.0,1951.0,1777.0,3670.0,21.0,15.0,67.0,1700.0,1678.0,3392.0,71.0,80.0,206.0,1831.0,1870.0,3746.0,22.0,16.0,49.0,1966.0,2088.0,4068.0,117.0,99.0,277.0,2222.0,2227.0,4410.0,9.0,3.0,19.0,2275.0,2341.0,4586.0,115.0,107.0,290.0,2451.0,2566.0,4991.0,7.0,9.0,34.0,2096.0,2317.0,4384.0,103.0,117.0,268.0,2236.0,2503.0,4794.0,3.0,8.0,19.0,1942.0,2096.0,4140.0,66.0,102.0,211.0,2098.0,2297.0,4425.0,3.0,3.0,12.0,2145.0,2161.0,4257.0,111.0,78.0,256.0,2350.0,2381.0,4623.0,4.0,9.0,21.0,1980.0,2177.0,4136.0,92.0,64.0,211.0,2127.0,2338.0,4444.0,4.0,12.0,18.0,1887.0,1962.0,3870.0,111.0,45.0,195.0,2103.0,2116.0,4159.0,3.0,0.0,9.0,1842.0,2093.0,3897.0,79.0,59.0,185.0,1980.0,2164.0,4165.0,0.0,3.0,6.0,5587.0,6921.0,12477.0,279.0,311.0,599.0,5925.0,7321.0,13198.0,398.0,429.0,926.0,30743.0,32691.0,63391.0,2078.0,1951.0,4018.0,33224.0,35133.0,68359.0,68359.0
Geelong,23.0,21.0,61.0,1979.0,1812.0,3762.0,43.0,32.0,116.0,2088.0,1888.0,3988.0,17.0,18.0,67.0,2036.0,1911.0,3969.0,62.0,55.0,159.0,2196.0,2033.0,4268.0,25.0,26.0,72.0,1923.0,1767.0,3707.0,34.0,38.0,123.0,2058.0,1861.0,3987.0,8.0,10.0,41.0,1853.0,1743.0,3524.0,55.0,25.0,120.0,1938.0,1866.0,3777.0,14.0,19.0,43.0,2230.0,2142.0,4347.0,84.0,46.0,157.0,2356.0,2306.0,4618.0,4.0,6.0,25.0,2617.0,2633.0,5190.0,93.0,118.0,230.0,2780.0,2796.0,5535.0,4.0,17.0,29.0,2439.0,2559.0,5028.0,81.0,61.0,164.0,2597.0,2691.0,5256.0,14.0,3.0,21.0,2231.0,2417.0,4644.0,75.0,35.0,162.0,2382.0,2577.0,4970.0,3.0,9.0,16.0,1995.0,2140.0,4107.0,84.0,64.0,198.0,2149.0,2300.0,4397.0,3.0,3.0,10.0,2067.0,2240.0,4283.0,79.0,38.0,159.0,2157.0,2356.0,4474.0,0.0,6.0,18.0,2055.0,2264.0,4298.0,84.0,33.0,141.0,2205.0,2371.0,4538.0,4.0,4.0,12.0,1967.0,2223.0,4227.0,55.0,46.0,113.0,2105.0,2349.0,4429.0,3.0,3.0,6.0,1890.0,2120.0,4041.0,32.0,29.0,128.0,1970.0,2263.0,4201.0,8.0,4.0,19.0,5581.0,7134.0,12749.0,213.0,257.0,562.0,5917.0,7490.0,13430.0,439.0,404.0,900.0,32722.0,35108.0,67930.0,1580.0,1478.0,3062.0,34828.0,37052.0,71905.0,71905.0
Gippsland East,89.0,69.0,183.0,1313.0,1191.0,2588.0,73.0,49.0,172.0,1573.0,1393.0,3011.0,75.0,80.0,172.0,1518.0,1466.0,2993.0,117.0,96.0,248.0,1767.0,1682.0,3509.0,79.0,63.0,189.0,1567.0,1515.0,3131.0,100.0,97.0,255.0,1821.0,1769.0,3628.0,77.0,59.0,151.0,1449.0,1338.0,2742.0,69.0,74.0,203.0,1668.0,1532.0,3190.0,35.0,60.0,108.0,1171.0,1013.0,2184.0,69.0,40.0,171.0,1339.0,1215.0,2523.0,36.0,26.0,92.0,1275.0,1314.0,2628.0,62.0,57.0,171.0,1418.0,1476.0,2977.0,24.0,16.0,83.0,1277.0,1436.0,2797.0,45.0,64.0,158.0,1469.0,1596.0,3101.0,18.0,20.0,65.0,1325.0,1463.0,2780.0,80.0,81.0,238.0,1550.0,1602.0,3119.0,8.0,27.0,56.0,1280.0,1481.0,2704.0,55.0,71.0,202.0,1410.0,1603.0,3003.0,4.0,25.0,56.0,1473.0,1591.0,3116.0,57.0,102.0,255.0,1613.0,1791.0,3449.0,0.0,32.0,45.0,1642.0,1906.0,3498.0,91.0,88.0,215.0,1772.0,2086.0,3937.0,14.0,20.0,61.0,1964.0,2208.0,4189.0,148.0,86.0,256.0,2161.0,2413.0,4604.0,4.0,22.0,51.0,2377.0,2529.0,4962.0,147.0,89.0,283.0,2629.0,2757.0,5373.0,26.0,59.0,128.0,8618.0,8649.0,17226.0,576.0,564.0,1194.0,9235.0,9309.0,18495.0,929.0,971.0,1940.0,28276.0,29244.0,57434.0,2284.0,2269.0,4604.0,31499.0,32435.0,63940.0,63940.0
Gippsland South,29.0,47.0,96.0,1501.0,1384.0,2891.0,64.0,89.0,230.0,1698.0,1588.0,3224.0,50.0,51.0,117.0,1771.0,1541.0,3309.0,86.0,71.0,234.0,1995.0,1789.0,3730.0,25.0,58.0,120.0,1840.0,1719.0,3565.0,91.0,91.0,237.0,2042.0,1908.0,3986.0,20.0,18.0,70.0,1708.0,1553.0,3195.0,64.0,59.0,167.0,1848.0,1775.0,3559.0,22.0,13.0,57.0,1389.0,1129.0,2533.0,45.0,34.0,141.0,1522.0,1272.0,2831.0,20.0,20.0,43.0,1466.0,1371.0,2828.0,50.0,74.0,176.0,1630.0,1477.0,3121.0,16.0,6.0,41.0,1610.0,1585.0,3220.0,67.0,48.0,152.0,1748.0,1713.0,3476.0,25.0,3.0,36.0,1698.0,1642.0,3356.0,71.0,87.0,237.0,1834.0,1809.0,3659.0,6.0,7.0,18.0,1581.0,1574.0,3188.0,84.0,83.0,232.0,1725.0,1726.0,3487.0,11.0,0.0,19.0,1730.0,1894.0,3633.0,74.0,77.0,204.0,1938.0,2011.0,3926.0,7.0,12.0,17.0,1933.0,2174.0,4091.0,82.0,63.0,211.0,2105.0,2348.0,4427.0,5.0,4.0,12.0,2170.0,2283.0,4456.0,141.0,88.0,251.0,2408.0,2463.0,4783.0,0.0,8.0,11.0,2368.0,2584.0,5015.0,148.0,110.0,300.0,2587.0,2807.0,5369.0,6.0,9.0,33.0,7407.0,7654.0,15043.0,503.0,464.0,1086.0,7939.0,8202.0,16163.0,533.0,506.0,1071.0,30182.0,30270.0,60405.0,2136.0,2092.0,4286.0,32933.0,32852.0,65810.0,65810.0
Glen Waverley,0.0,3.0,3.0,1668.0,1500.0,3201.0,8.0,22.0,35.0,1691.0,1563.0,3290.0,8.0,0.0,8.0,2423.0,2252.0,4793.0,23.0,10.0,57.0,2517.0,2297.0,4908.0,0.0,0.0,0.0,2762.0,2525.0,5279.0,35.0,49.0,102.0,2848.0,2589.0,5410.0,0.0,10.0,18.0,2675.0,2456.0,5168.0,43.0,26.0,82.0,2765.0,2536.0,5325.0,0.0,0.0,3.0,2902.0,2352.0,5228.0,41.0,29.0,91.0,2970.0,2425.0,5397.0,0.0,0.0,0.0,2378.0,1908.0,4272.0,33.0,57.0,105.0,2460.0,1990.0,4440.0,3.0,0.0,3.0,2082.0,2086.0,4153.0,20.0,26.0,91.0,2132.0,2161.0,4254.0,0.0,0.0,0.0,2380.0,2695.0,5176.0,35.0,31.0,117.0,2471.0,2794.0,5326.0,0.0,0.0,0.0,2565.0,2865.0,5412.0,31.0,37.0,113.0,2665.0,2912.0,5575.0,0.0,0.0,0.0,2621.0,3007.0,5535.0,30.0,24.0,92.0,2677.0,3068.0,5747.0,0.0,0.0,0.0,2558.0,2774.0,5344.0,25.0,6.0,67.0,2628.0,2829.0,5455.0,3.0,0.0,3.0,2388.0,2471.0,4855.0,3.0,21.0,67.0,2473.0,2515.0,4965.0,0.0,0.0,0.0,2137.0,2450.0,4561.0,13.0,19.0,70.0,2198.0,2520.0,4679.0,0.0,0.0,0.0,7745.0,9498.0,17203.0,140.0,187.0,470.0,7925.0,9753.0,17706.0,45.0,70.0,172.0,39158.0,40850.0,80062.0,993.0,1053.0,2125.0,40253.0,42061.0,82465.0,82465.0
