district,R_1_74_LT_Real_estate_agent_n,R_1_74_LT_Ste_terr_hsg_auth_n,R_1_74_LT_com_hou_pro_n,R_1_74_LT_Psn_not_Sme_hhd_n,R_1_74_LT_Other_Lld_type_n,R_1_74_LT_Lld_type_ns_n,R_1_74_Tot_n,R_75_99_LT_Real_estate_agent_n,R_75_99_LT_Ste_terr_hsg_auth_n,R_75_99_LT_com_hou_pro_n,R_75_99_LT_Psn_not_Sme_hhd_n,R_75_99_LT_Other_Lld_type_n,R_75_99_LT_Lld_type_ns_n,R_75_99_Tot_n,R_100_149_LT_Real_eSte_agent_n,R_100_149_LT_St_ter_hsg_aut_n,R_100_149_LT_com_hou_pro_n,R_100_149_LT_Psn_not_Sme_hhd_n,R_100_149_LT_Other_Lld_type_n,R_100_149_LT_Lld_type_ns_n,R_100_149_Tot_n,R_150_199_LT_Real_eSte_agent_n,R_150_199_LT_Ste_ter_hsg_aut_n,R_150_199_LT_com_hou_pro_n,R_150_199_LT_Psn_not_Sme_hhd_n,R_150_199_LT_Other_Lld_type_n,R_150_199_LT_Lld_type_ns_n,R_150_199_Tot_n,R_200_224_LT_Real_eSte_agent_n,R_200_224_LT_Ste_ter_hsg_aut_n,R_200_224_LT_com_hou_pro_n,R_200_224_LT_Psn_not_Sme_hhd_n,R_200_224_LT_Other_Lld_type_n,R_200_224_LT_Lld_type_ns_n,R_200_224_Tot_n,R_225_274_LT_Real_eSte_agent_n,R_225_274_LT_Ste_ter_hsg_aut_n,R_225_274_LT_com_hou_pro_n,R_225_274_LT_Psn_not_Sme_hhd_n,R_225_274_LT_Other_Lld_type_n,R_225_274_LT_Lld_type_ns_n,R_225_274_Tot_n,R_275_349_LT_Real_eSte_agent_n,R_275_349_LT_Ste_ter_hsg_aut_n,R_275_349_LT_com_hou_pro_n,R_275_349_LT_Psn_not_Sme_hhd_n,R_275_349_LT_Other_Lld_type_n,R_275_349_LT_Lld_type_ns_n,R_275_349_Tot_n,R_350_449_LT_Real_eSte_agent_n,R_350_449_LT_Ste_ter_hsg_aut_n,R_350_449_LT_com_hou_pro_n,R_350_449_LT_Psn_not_Sme_hhd_n,R_350_449_LT_Other_Lld_type_n,R_350_449_LT_Lld_type_ns_n,R_350_449_Tot_n,R_450_549_LT_Real_eSte_agent_n,R_450_549_LT_Ste_ter_hsg_aut_n,R_450_549_LT_com_hou_pro_n,R_450_549_LT_Psn_not_Sme_hhd_n,R_450_549_LT_Other_Lld_type_n,R_450_549_LT_Lld_type_ns_n,R_450_549_Tot_n,R_550_649_LT_Real_eSte_agent_n,R_550_649_LT_Ste_ter_hsg_aut_n,R_550_649_LT_com_hou_pro_n,R_550_649_LT_Psn_not_Sme_hhd_n,R_550_649_LT_Other_Lld_type_n,R_550_649_LT_Lld_type_ns_n,R_550_649_Tot_n,R_650_749_LT_Real_eSte_agent_n,R_650_749_LT_Ste_ter_hsg_aut_n,R_650_749_LT_com_hou_pro_n,R_650_749_LT_Psn_not_Sme_hhd_n,R_650_749_LT_Other_Lld_type_n,R_650_749_LT_Lld_type_ns_n,R_650_749_Tot_n,R_750_849_LT_Real_eSte_agent_n,R_750_849_LT_Ste_ter_hsg_aut_n,R_750_849_LT_com_hou_pro_n,R_750_849_LT_Psn_not_Sme_hhd_n,R_750_849_LT_Other_Lld_type_n,R_750_849_LT_Lld_type_ns_n,R_750_849_Tot_n,R_850_949_LT_Real_estat_agent_n,R_850_949_LT_Ste_ter_hsg_aut_n,R_850_949_LT_com_hou_pro_n,R_850_949_LT_Psn_not_Sme_hhd_n,R_850_949_LT_Other_Lld_type_n,R_850_949_LT_Lld_type_ns_n,R_850_949_Tot_n,R_950_over_LT_Real_eSte_agent_n,R_950_over_LT_Ste_ter_hsg_aut_n,R_950_ovr_LT_com_hou_pro_n,R_950_over_LT_Psn_not_Sme_hhd_n,R_950_over_LT_Other_Lld_type_n,R_950_over_LT_Lld_type_ns_n,R_950_over_Tot_n,Rent_ns_LT_Real_eSte_agent_n,Rent_ns_LT_Ste_ter_hsg_auth_n,Rent_ns_LT_com_hou_pro_n,Rent_ns_LT_Psn_not_Sme_hhd_n,Rent_ns_LT_Other_Lld_type_n,Rent_ns_LT_Lld_type_ns_n,Rent_ns_Tot_n,Tot_LT_Real_eSte_agent_n,Tot_LT_Ste_ter_hsg_auth_n,Tot_LT_com_hou_pro_n,Tot_LT_Psn_not_Sme_hhd_n,Tot_LT_Other_Lld_type_n,Tot_LT_Lld_type_ns_n,Tot_Tot_n,Tot_Tot_total
Croydon,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,167.0,6.0,9.0,4.0,0.0,210.0,0.0,58.0,15.0,16.0,0.0,0.0,149.0,3.0,15.0,4.0,32.0,0.0,0.0,88.0,72.0,22.0,8.0,44.0,0.0,0.0,205.0,784.0,17.0,15.0,212.0,3.0,4.0,1058.0,2346.0,13.0,4.0,300.0,0.0,0.0,2708.0,1037.0,0.0,0.0,65.0,0.0,0.0,1108.0,160.0,0.0,0.0,0.0,0.0,0.0,178.0,40.0,0.0,0.0,0.0,0.0,0.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,26.0,0.0,27.0,0.0,0.0,226.0,4703.0,503.0,83.0,950.0,46.0,8.0,6450.0,6450.0
Dandenong,6.0,42.0,4.0,0.0,0.0,0.0,60.0,0.0,42.0,5.0,0.0,0.0,0.0,72.0,19.0,494.0,20.0,21.0,9.0,0.0,696.0,44.0,185.0,46.0,44.0,13.0,0.0,424.0,51.0,53.0,6.0,17.0,12.0,0.0,235.0,692.0,95.0,30.0,126.0,37.0,0.0,1132.0,2899.0,51.0,4.0,494.0,116.0,4.0,3759.0,3003.0,51.0,5.0,414.0,145.0,3.0,3774.0,383.0,0.0,0.0,42.0,5.0,0.0,530.0,17.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,94.0,69.0,15.0,63.0,7.0,17.0,491.0,7727.0,1370.0,176.0,1795.0,518.0,63.0,11785.0,11785.0
Eildon,0.0,7.0,5.0,0.0,0.0,0.0,29.0,0.0,7.0,0.0,3.0,0.0,0.0,10.0,0.0,89.0,10.0,27.0,17.0,0.0,199.0,22.0,14.0,11.0,38.0,17.0,0.0,148.0,42.0,15.0,5.0,85.0,21.0,0.0,191.0,126.0,7.0,0.0,96.0,8.0,0.0,288.0,435.0,9.0,0.0,175.0,3.0,0.0,697.0,611.0,0.0,0.0,149.0,0.0,0.0,865.0,120.0,0.0,0.0,10.0,0.0,0.0,162.0,15.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,0.0,7.0,21.0,31.0,0.0,137.0,1703.0,225.0,38.0,958.0,167.0,5.0,3162.0,3162.0
Eltham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,12.0,3.0,0.0,0.0,67.0,0.0,3.0,31.0,15.0,8.0,9.0,82.0,0.0,3.0,3.0,0.0,0.0,0.0,25.0,11.0,0.0,5.0,11.0,0.0,0.0,53.0,113.0,0.0,0.0,52.0,0.0,0.0,246.0,690.0,4.0,0.0,74.0,0.0,0.0,836.0,536.0,0.0,0.0,37.0,0.0,0.0,637.0,203.0,0.0,0.0,7.0,0.0,0.0,234.0,62.0,0.0,0.0,0.0,0.0,0.0,73.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,6.0,0.0,12.0,0.0,3.0,69.0,1881.0,108.0,53.0,492.0,19.0,12.0,2695.0,2695.0
Essendon,0.0,66.0,0.0,0.0,0.0,0.0,80.0,0.0,123.0,0.0,3.0,0.0,0.0,134.0,4.0,571.0,3.0,11.0,3.0,0.0,641.0,12.0,211.0,27.0,35.0,0.0,0.0,368.0,40.0,107.0,28.0,27.0,0.0,0.0,251.0,378.0,112.0,21.0,81.0,4.0,0.0,659.0,1704.0,120.0,14.0,197.0,0.0,0.0,2075.0,2691.0,24.0,3.0,251.0,10.0,0.0,3071.0,1420.0,5.0,0.0,94.0,0.0,0.0,1589.0,712.0,0.0,0.0,24.0,0.0,0.0,810.0,285.0,0.0,0.0,0.0,0.0,0.0,324.0,139.0,0.0,0.0,9.0,0.0,0.0,151.0,36.0,0.0,0.0,3.0,0.0,0.0,53.0,65.0,0.0,0.0,0.0,0.0,0.0,75.0,71.0,87.0,7.0,43.0,0.0,6.0,315.0,8087.0,1553.0,147.0,1153.0,52.0,10.0,11200.0,11200.0
Eureka,0.0,9.0,0.0,0.0,0.0,0.0,21.0,4.0,23.0,0.0,0.0,0.0,0.0,30.0,12.0,197.0,9.0,35.0,0.0,0.0,301.0,60.0,87.0,63.0,78.0,0.0,0.0,383.0,103.0,43.0,13.0,86.0,0.0,0.0,306.0,542.0,60.0,40.0,177.0,9.0,0.0,885.0,1485.0,18.0,8.0,234.0,9.0,0.0,1912.0,1348.0,3.0,0.0,136.0,0.0,0.0,1583.0,139.0,0.0,0.0,0.0,0.0,0.0,185.0,18.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,4.0,20.0,18.0,3.0,187.0,4090.0,573.0,158.0,1156.0,112.0,12.0,6111.0,6111.0
Euroa,0.0,18.0,7.0,0.0,0.0,0.0,42.0,0.0,13.0,0.0,5.0,6.0,0.0,33.0,15.0,216.0,29.0,47.0,33.0,4.0,421.0,183.0,94.0,13.0,101.0,32.0,0.0,496.0,153.0,18.0,5.0,144.0,15.0,0.0,403.0,471.0,51.0,4.0,169.0,116.0,0.0,927.0,788.0,30.0,0.0,191.0,62.0,0.0,1191.0,658.0,0.0,4.0,66.0,23.0,0.0,795.0,67.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,25.0,8.0,43.0,40.0,3.0,287.0,2633.0,571.0,99.0,1213.0,463.0,14.0,5071.0,5071.0
Evelyn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,17.0,0.0,53.0,3.0,5.0,0.0,0.0,97.0,3.0,16.0,9.0,23.0,8.0,0.0,84.0,15.0,0.0,0.0,10.0,0.0,0.0,53.0,42.0,0.0,6.0,27.0,8.0,0.0,119.0,208.0,3.0,0.0,95.0,27.0,0.0,407.0,1118.0,0.0,0.0,246.0,0.0,0.0,1389.0,480.0,0.0,0.0,43.0,0.0,0.0,564.0,65.0,0.0,0.0,0.0,0.0,0.0,66.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,10.0,10.0,23.0,0.0,0.0,98.0,2243.0,150.0,51.0,781.0,65.0,4.0,3420.0,3420.0
Footscray,0.0,38.0,0.0,0.0,0.0,0.0,53.0,0.0,49.0,0.0,0.0,0.0,0.0,63.0,19.0,383.0,13.0,14.0,3.0,0.0,510.0,63.0,127.0,51.0,53.0,0.0,0.0,374.0,143.0,59.0,21.0,21.0,6.0,0.0,308.0,579.0,31.0,17.0,84.0,14.0,0.0,829.0,1798.0,32.0,20.0,274.0,0.0,0.0,2247.0,3186.0,9.0,0.0,317.0,15.0,0.0,3609.0,1993.0,0.0,0.0,167.0,4.0,0.0,2289.0,816.0,0.0,0.0,43.0,0.0,0.0,908.0,331.0,0.0,0.0,3.0,0.0,0.0,366.0,72.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,5.0,0.0,0.0,22.0,21.0,0.0,0.0,3.0,0.0,0.0,27.0,53.0,45.0,3.0,62.0,3.0,8.0,284.0,9459.0,939.0,206.0,1575.0,109.0,13.0,12477.0,12477.0
Frankston,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0,0.0,34.0,3.0,330.0,21.0,25.0,8.0,0.0,444.0,38.0,96.0,23.0,63.0,5.0,0.0,316.0,103.0,41.0,13.0,48.0,24.0,0.0,277.0,565.0,34.0,6.0,136.0,12.0,0.0,843.0,1980.0,42.0,9.0,316.0,0.0,0.0,2413.0,2585.0,22.0,0.0,219.0,8.0,0.0,2942.0,780.0,0.0,0.0,54.0,0.0,0.0,952.0,156.0,0.0,0.0,0.0,0.0,0.0,178.0,33.0,0.0,0.0,3.0,0.0,0.0,37.0,18.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,23.0,123.0,29.0,0.0,40.0,7.0,4.0,288.0,6689.0,837.0,133.0,1256.0,112.0,27.0,9180.0,9180.0
Geelong,6.0,39.0,0.0,5.0,0.0,0.0,59.0,0.0,43.0,5.0,0.0,0.0,0.0,61.0,14.0,283.0,26.0,45.0,12.0,5.0,457.0,94.0,85.0,88.0,99.0,13.0,0.0,535.0,253.0,38.0,29.0,101.0,16.0,0.0,514.0,604.0,68.0,21.0,122.0,34.0,0.0,980.0,1883.0,54.0,3.0,376.0,25.0,0.0,2430.0,2315.0,13.0,20.0,238.0,34.0,3.0,2697.0,745.0,0.0,0.0,73.0,0.0,0.0,871.0,207.0,0.0,0.0,7.0,0.0,0.0,224.0,70.0,0.0,0.0,3.0,0.0,0.0,81.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,53.0,37.0,13.0,51.0,10.0,9.0,254.0,6554.0,798.0,269.0,1469.0,220.0,22.0,9585.0,9585.0
Gippsland East,0.0,13.0,0.0,5.0,3.0,0.0,49.0,0.0,13.0,0.0,7.0,3.0,0.0,38.0,13.0,198.0,22.0,77.0,35.0,5.0,400.0,119.0,93.0,25.0,135.0,13.0,0.0,495.0,151.0,26.0,13.0,123.0,15.0,0.0,438.0,621.0,52.0,13.0,186.0,5.0,0.0,984.0,746.0,12.0,4.0,249.0,21.0,0.0,1132.0,577.0,0.0,0.0,61.0,0.0,0.0,692.0,42.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,8.0,28.0,10.0,0.0,184.0,2496.0,523.0,169.0,1232.0,201.0,13.0,4786.0,4786.0
Gippsland South,0.0,12.0,0.0,9.0,3.0,0.0,38.0,0.0,6.0,5.0,3.0,0.0,0.0,22.0,10.0,160.0,17.0,59.0,16.0,0.0,370.0,156.0,52.0,33.0,97.0,16.0,0.0,443.0,201.0,27.0,11.0,109.0,4.0,0.0,420.0,547.0,35.0,13.0,177.0,70.0,0.0,903.0,813.0,10.0,8.0,126.0,64.0,0.0,1123.0,519.0,0.0,0.0,59.0,8.0,0.0,651.0,72.0,0.0,0.0,0.0,0.0,0.0,95.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,16.0,26.0,0.0,58.0,35.0,0.0,201.0,2561.0,431.0,125.0,1094.0,316.0,26.0,4664.0,4664.0
Glen Waverley,0.0,9.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,106.0,0.0,9.0,0.0,0.0,130.0,4.0,28.0,11.0,7.0,0.0,0.0,111.0,0.0,8.0,0.0,15.0,0.0,0.0,31.0,0.0,4.0,0.0,7.0,0.0,0.0,49.0,73.0,3.0,0.0,45.0,0.0,0.0,198.0,1396.0,16.0,5.0,122.0,4.0,3.0,1652.0,1742.0,0.0,0.0,152.0,17.0,0.0,2008.0,891.0,0.0,0.0,19.0,5.0,0.0,945.0,227.0,0.0,0.0,11.0,0.0,0.0,267.0,65.0,0.0,0.0,0.0,0.0,0.0,71.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0,0.0,0.0,5.0,0.0,0.0,52.0,36.0,15.0,0.0,45.0,3.0,3.0,218.0,4856.0,262.0,49.0,1000.0,83.0,16.0,6369.0,6369.0
Greenvale,0.0,10.0,0.0,3.0,0.0,0.0,13.0,0.0,15.0,0.0,0.0,4.0,0.0,23.0,0.0,130.0,0.0,0.0,0.0,0.0,154.0,3.0,73.0,0.0,8.0,11.0,0.0,117.0,0.0,29.0,0.0,0.0,0.0,0.0,43.0,10.0,33.0,0.0,18.0,8.0,0.0,91.0,473.0,14.0,2.0,175.0,61.0,0.0,815.0,1866.0,45.0,0.0,257.0,94.0,3.0,2375.0,334.0,3.0,0.0,22.0,3.0,0.0,446.0,37.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,31.0,0.0,34.0,0.0,0.0,185.0,2946.0,508.0,26.0,806.0,271.0,15.0,4677.0,4677.0
Hastings,0.0,0.0,0.0,0.0,13.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,103.0,10.0,10.0,0.0,0.0,143.0,7.0,53.0,5.0,14.0,8.0,0.0,119.0,14.0,6.0,5.0,23.0,16.0,0.0,72.0,78.0,22.0,6.0,56.0,176.0,0.0,422.0,622.0,25.0,5.0,182.0,61.0,0.0,994.0,1284.0,3.0,0.0,206.0,6.0,0.0,1490.0,501.0,0.0,0.0,36.0,9.0,0.0,565.0,50.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,29.0,3.0,28.0,8.0,0.0,180.0,2813.0,381.0,50.0,901.0,362.0,7.0,4515.0,4515.0
Hawthorn,0.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,49.0,11.0,7.0,0.0,0.0,94.0,37.0,3.0,10.0,24.0,0.0,0.0,123.0,103.0,4.0,12.0,19.0,0.0,0.0,172.0,188.0,0.0,13.0,30.0,3.0,0.0,278.0,1134.0,0.0,0.0,129.0,0.0,0.0,1338.0,2601.0,0.0,0.0,252.0,3.0,0.0,2949.0,1619.0,0.0,0.0,159.0,0.0,0.0,1858.0,724.0,0.0,0.0,58.0,0.0,0.0,856.0,437.0,0.0,0.0,15.0,0.0,0.0,516.0,327.0,0.0,0.0,6.0,0.0,0.0,367.0,204.0,0.0,0.0,3.0,0.0,0.0,225.0,399.0,0.0,0.0,15.0,0.0,0.0,453.0,66.0,5.0,0.0,21.0,0.0,0.0,174.0,8218.0,117.0,85.0,1249.0,62.0,3.0,9819.0,9819.0
Ivanhoe,0.0,46.0,0.0,4.0,0.0,0.0,65.0,0.0,48.0,0.0,4.0,0.0,0.0,60.0,0.0,357.0,31.0,5.0,0.0,0.0,453.0,12.0,109.0,50.0,20.0,0.0,0.0,244.0,0.0,59.0,17.0,22.0,0.0,0.0,132.0,43.0,56.0,32.0,43.0,64.0,0.0,293.0,728.0,58.0,8.0,150.0,58.0,0.0,1079.0,2207.0,76.0,3.0,232.0,12.0,0.0,2577.0,1358.0,3.0,0.0,65.0,3.0,0.0,1503.0,545.0,0.0,0.0,27.0,0.0,0.0,622.0,152.0,0.0,0.0,11.0,0.0,0.0,195.0,36.0,0.0,0.0,3.0,0.0,0.0,65.0,14.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,41.0,36.0,102.0,8.0,22.0,0.0,3.0,253.0,5421.0,1048.0,168.0,1004.0,166.0,12.0,7957.0,7957.0
Kalkallo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,11.0,0.0,0.0,0.0,32.0,0.0,3.0,0.0,5.0,0.0,0.0,18.0,8.0,7.0,6.0,23.0,0.0,0.0,72.0,983.0,4.0,10.0,173.0,7.0,0.0,1320.0,3842.0,0.0,0.0,305.0,75.0,0.0,4415.0,525.0,0.0,0.0,32.0,9.0,0.0,646.0,30.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,92.0,0.0,0.0,17.0,7.0,0.0,181.0,5768.0,69.0,44.0,938.0,171.0,3.0,7125.0,7125.0
Kew,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,25.0,8.0,0.0,4.0,0.0,57.0,4.0,0.0,16.0,0.0,0.0,5.0,30.0,0.0,5.0,4.0,3.0,0.0,0.0,30.0,10.0,3.0,0.0,9.0,0.0,0.0,46.0,292.0,0.0,0.0,58.0,0.0,0.0,431.0,1388.0,0.0,3.0,127.0,0.0,0.0,1622.0,1042.0,0.0,0.0,113.0,0.0,0.0,1262.0,713.0,0.0,0.0,39.0,0.0,0.0,799.0,453.0,0.0,0.0,29.0,0.0,0.0,501.0,288.0,0.0,0.0,18.0,0.0,0.0,315.0,153.0,0.0,0.0,4.0,0.0,0.0,178.0,426.0,0.0,0.0,7.0,0.0,0.0,494.0,55.0,6.0,0.0,68.0,8.0,0.0,182.0,5283.0,59.0,37.0,956.0,46.0,5.0,6416.0,6416.0
Kororoit,0.0,9.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,0.0,7.0,0.0,111.0,0.0,28.0,5.0,19.0,28.0,0.0,173.0,6.0,7.0,11.0,6.0,21.0,0.0,89.0,27.0,11.0,10.0,36.0,7.0,0.0,168.0,689.0,10.0,18.0,295.0,49.0,5.0,1127.0,2418.0,4.0,4.0,256.0,4.0,0.0,2872.0,565.0,0.0,0.0,35.0,0.0,0.0,651.0,49.0,0.0,0.0,9.0,0.0,0.0,61.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,3.0,7.0,33.0,0.0,0.0,182.0,4135.0,336.0,87.0,988.0,199.0,13.0,5889.0,5889.0
Lara,5.0,74.0,0.0,0.0,0.0,0.0,100.0,0.0,63.0,4.0,0.0,8.0,0.0,88.0,9.0,513.0,30.0,8.0,0.0,0.0,607.0,81.0,189.0,56.0,58.0,21.0,0.0,510.0,145.0,73.0,16.0,47.0,3.0,0.0,363.0,736.0,121.0,23.0,141.0,9.0,0.0,1184.0,1919.0,54.0,25.0,298.0,16.0,0.0,2406.0,1668.0,10.0,3.0,160.0,0.0,0.0,1937.0,436.0,0.0,0.0,13.0,0.0,0.0,448.0,55.0,0.0,0.0,0.0,0.0,0.0,57.0,27.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,76.0,0.0,12.0,21.0,0.0,287.0,5470.0,1309.0,221.0,1118.0,157.0,25.0,8470.0,8470.0
Laverton,0.0,39.0,0.0,4.0,0.0,0.0,61.0,7.0,41.0,0.0,3.0,0.0,0.0,63.0,12.0,273.0,4.0,10.0,0.0,0.0,380.0,14.0,108.0,6.0,65.0,24.0,0.0,306.0,84.0,34.0,0.0,33.0,7.0,0.0,243.0,355.0,48.0,14.0,88.0,24.0,0.0,612.0,1602.0,58.0,18.0,360.0,56.0,0.0,2252.0,4294.0,20.0,0.0,374.0,51.0,0.0,4840.0,812.0,4.0,0.0,30.0,3.0,0.0,935.0,79.0,0.0,0.0,8.0,0.0,0.0,107.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,33.0,117.0,50.0,0.0,65.0,21.0,9.0,425.0,7816.0,876.0,72.0,1476.0,332.0,39.0,10773.0,10773.0
Lowan,0.0,36.0,0.0,23.0,12.0,0.0,112.0,4.0,43.0,7.0,16.0,0.0,0.0,92.0,104.0,231.0,6.0,196.0,37.0,0.0,751.0,463.0,75.0,32.0,307.0,15.0,0.0,1055.0,379.0,29.0,3.0,190.0,15.0,0.0,755.0,613.0,15.0,3.0,198.0,3.0,3.0,909.0,554.0,3.0,22.0,109.0,6.0,5.0,798.0,277.0,0.0,5.0,25.0,4.0,0.0,342.0,21.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,0.0,58.0,70.0,6.0,277.0,2733.0,605.0,127.0,1593.0,382.0,24.0,5573.0,5573.0
Macedon,0.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,66.0,15.0,14.0,3.0,0.0,131.0,12.0,11.0,21.0,48.0,0.0,0.0,115.0,4.0,8.0,3.0,26.0,0.0,0.0,65.0,60.0,9.0,9.0,41.0,3.0,0.0,146.0,218.0,9.0,8.0,174.0,4.0,0.0,497.0,597.0,7.0,0.0,169.0,9.0,0.0,888.0,381.0,0.0,0.0,76.0,0.0,0.0,473.0,145.0,0.0,0.0,0.0,0.0,0.0,152.0,32.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,4.0,0.0,27.0,3.0,0.0,119.0,1740.0,170.0,106.0,951.0,43.0,0.0,3090.0,3090.0
