district,M_0_4_yrs_Need_for_assistance_pc,M_0_4_No_need_for_assistance_pc,M_0_4_Need_for_assistance_ns_pc,M_0_4_yrs_Tot_pc,M_5_14_Need_for_assistance_pc,M_5_14_No_need_for_assistance_pc,M_5_14_Need_for_assistance_ns_pc,M_5_14_yrs_Tot_pc,M_15_19_Need_for_assistance_pc,M_15_19_No_need_for_assistnce_pc,M_15_19_Need_for_assistnce_ns_pc,M_15_19_yrs_Tot_pc,M_20_24_Need_for_assistance_pc,M_20_24_No_need_for_assistnce_pc,M_20_24_Need_for_assistnce_ns_pc,M_20_24_yrs_Tot_pc,M_25_34_Need_for_assistance_pc,M_25_34_No_need_for_assistnce_pc,M_25_34_Need_for_assistnce_ns_pc,M_25_34_yrs_Tot_pc,M_35_44_Need_for_assistance_pc,M_35_44_No_need_for_assistnce_pc,M_35_44_Need_for_assistnce_ns_pc,M_35_44_yrs_Tot_pc,M_45_54_Need_for_assistance_pc,M_45_54_No_need_for_assistnce_pc,M_45_54_Need_for_assistnce_ns_pc,M_45_54_yrs_Tot_pc,M_55_64_Need_for_assistance_pc,M_55_64_No_need_for_assistnce_pc,M_55_64_Need_for_assistnce_ns_pc,M_55_64_yrs_Tot_pc,M_65_74_Need_for_assistance_pc,M_65_74_No_need_for_assistnce_pc,M_65_74_Need_for_assistnce_ns_pc,M_65_74_yrs_Tot_pc,M_75_84_Need_for_assistance_pc,M_75_84_No_need_for_assistnce_pc,M_75_84_Need_for_assistnce_ns_pc,M_75_84_yrs_Tot_pc,M_85_over_Need_for_assistance_pc,M_85_ov_No_need_for_assistnce_pc,M_85_ov_Need_for_assistnce_ns_pc,M_85_yrs_over_Tot_pc,M_Tot_Need_for_assistance_pc,M_Tot_No_need_for_assistance_pc,M_Tot_Need_for_assistance_ns_pc,M_Tot_Tot_pc,F_0_4_yrs_Need_for_assistance_pc,F_0_4_No_need_for_assistance_pc,F_0_4_Need_for_assistance_ns_pc,F_0_4_yrs_Tot_pc,F_5_14_Need_for_assistance_pc,F_5_14_No_need_for_assistance_pc,F_5_14_Need_for_assistance_ns_pc,F_5_14_yrs_Tot_pc,F_15_19_Need_for_assistance_pc,F_15_19_No_need_for_assistnce_pc,F_15_19_Need_for_assistnce_ns_pc,F_15_19_yrs_Tot_pc,F_20_24_Need_for_assistance_pc,F_20_24_No_need_for_assistnce_pc,F_20_24_Need_for_assistnce_ns_pc,F_20_24_yrs_Tot_pc,F_25_34_Need_for_assistance_pc,F_25_34_No_need_for_assistnce_pc,F_25_34_Need_for_assistnce_ns_pc,F_25_34_yrs_Tot_pc,F_35_44_Need_for_assistance_pc,F_35_44_No_need_for_assistnce_pc,F_35_44_Need_for_assistnce_ns_pc,F_35_44_yrs_Tot_pc,F_45_54_Need_for_assistance_pc,F_45_54_No_need_for_assistnce_pc,F_45_54_Need_for_assistnce_ns_pc,F_45_54_yrs_Tot_pc,F_55_64_Need_for_assistance_pc,F_55_64_No_need_for_assistnce_pc,F_55_64_Need_for_assistnce_ns_pc,F_55_64_yrs_Tot_pc,F_65_74_Need_for_assistance_pc,F_65_74_No_need_for_assistnce_pc,F_65_74_Need_for_assistnce_ns_pc,F_65_74_yrs_Tot_pc,F_75_84_Need_for_assistance_pc,F_75_84_No_need_for_assistnce_pc,F_75_84_Need_for_assistnce_ns_pc,F_75_84_yrs_Tot_pc,F_85_over_Need_for_assistance_pc,F_85_ov_No_need_for_assistnce_pc,F_85_ov_Need_for_assistnce_ns_pc,F_85_yrs_over_Tot_pc,F_Tot_Need_for_assistance_pc,F_Tot_No_need_for_assistance_pc,F_Tot_Need_for_assistance_ns_pc,F_Tot_Tot_pc,P_0_4_yrs_Need_for_assistance_pc,P_0_4_No_need_for_assistance_pc,P_0_4_Need_for_assistance_ns_pc,P_0_4_yrs_Tot_pc,P_5_14_Need_for_assistance_pc,P_5_14_No_need_for_assistance_pc,P_5_14_Need_for_assistance_ns_pc,P_5_14_yrs_Tot_pc,P_15_19_Need_for_assistance_pc,P_15_19_No_need_for_assistnce_pc,P_15_19_Need_for_assistnce_ns_pc,P_15_19_yrs_Tot_pc,P_20_24_Need_for_assistance_pc,P_20_24_No_need_for_assistnce_pc,P_20_24_Need_for_assistnce_ns_pc,P_20_24_yrs_Tot_pc,P_25_34_Need_for_assistance_pc,P_25_34_No_need_for_assistnce_pc,P_25_34_Need_for_assistnce_ns_pc,P_25_34_yrs_Tot_pc,P_35_44_Need_for_assistance_pc,P_35_44_No_need_for_assistnce_pc,P_35_44_Need_for_assistnce_ns_pc,P_35_44_yrs_Tot_pc,P_45_54_Need_for_assistance_pc,P_45_54_No_need_for_assistnce_pc,P_45_54_Need_for_assistnce_ns_pc,P_45_54_yrs_Tot_pc,P_55_64_Need_for_assistance_pc,P_55_64_No_need_for_assistnce_pc,P_55_64_Need_for_assistnce_ns_pc,P_55_64_yrs_Tot_pc,P_65_74_Need_for_assistance_pc,P_65_74_No_need_for_assistnce_pc,P_65_74_Need_for_assistnce_ns_pc,P_65_74_yrs_Tot_pc,P_75_84_Need_for_assistance_pc,P_75_84_No_need_for_assistnce_pc,P_75_84_Need_for_assistnce_ns_pc,P_75_84_yrs_Tot_pc,P_85_over_Need_for_assistance_pc,P_85_ov_No_need_for_assistnce_pc,P_85_ov_Need_for_assistnce_ns_pc,P_85_yrs_over_Tot_pc,P_Tot_Need_for_assistance_pc,P_Tot_No_need_for_assistance_pc,P_Tot_Need_for_assistance_ns_pc,P_Tot_Tot_pc
Eureka,0.0001,0.0285,0.0011,0.0306,0.0046,0.0612,0.0036,0.0696,0.0012,0.0265,0.0009,0.0297,0.0003,0.0252,0.001,0.0283,0.0011,0.0582,0.0032,0.0638,0.0007,0.0587,0.0026,0.0637,0.0017,0.0569,0.0036,0.0637,0.0028,0.0519,0.0023,0.0591,0.0043,0.0442,0.0025,0.0517,0.0046,0.017,0.0012,0.0246,0.0028,0.0023,0.0004,0.0066,0.0317,0.4326,0.0281,0.4916,0.0001,0.0277,0.001,0.0295,0.0025,0.059,0.0025,0.0647,0.0007,0.0247,0.0013,0.0278,0.0004,0.0246,0.0008,0.0274,0.001,0.0605,0.0026,0.0652,0.0013,0.0635,0.0024,0.0683,0.0021,0.0601,0.0024,0.0665,0.0032,0.0572,0.0027,0.0643,0.0046,0.0463,0.0016,0.0545,0.0062,0.0192,0.0012,0.0272,0.0058,0.0041,0.0005,0.0127,0.0347,0.4484,0.0259,0.5081,0.0003,0.0561,0.0028,0.0598,0.0079,0.1199,0.0066,0.1351,0.0027,0.0513,0.0031,0.0581,0.0009,0.0494,0.0027,0.0549,0.003,0.1186,0.0068,0.1294,0.0032,0.1211,0.0061,0.1311,0.0051,0.1182,0.0061,0.1292,0.0063,0.1108,0.0053,0.1236,0.0104,0.0902,0.0054,0.106,0.011,0.0374,0.0028,0.0526,0.0097,0.0074,0.0011,0.0195,0.066,0.8804,0.0533,1.0
Euroa,0.0001,0.0219,0.0009,0.0248,0.003,0.0462,0.0046,0.0552,0.0005,0.0245,0.0016,0.0288,0.0008,0.023,0.0016,0.0263,0.0009,0.0439,0.0044,0.0518,0.0009,0.0426,0.0045,0.0502,0.0018,0.0548,0.0058,0.0645,0.0035,0.0652,0.0067,0.0764,0.0063,0.0621,0.0047,0.0744,0.0056,0.0294,0.0023,0.04,0.0039,0.0051,0.0005,0.0107,0.0366,0.4209,0.0452,0.5016,0.0001,0.0211,0.0013,0.0238,0.0013,0.0461,0.0047,0.0531,0.0004,0.0216,0.0015,0.0246,0.0001,0.0193,0.0012,0.0208,0.0006,0.046,0.0033,0.051,0.0008,0.0475,0.0042,0.0537,0.0024,0.0587,0.0047,0.0662,0.004,0.0668,0.0057,0.079,0.0053,0.0599,0.0033,0.0701,0.0077,0.028,0.0023,0.0393,0.0075,0.0065,0.0011,0.0173,0.0373,0.4211,0.0396,0.4979,0.0003,0.0434,0.0034,0.0484,0.0058,0.0929,0.0098,0.1097,0.0012,0.0456,0.0045,0.0531,0.0013,0.0424,0.0033,0.0474,0.0026,0.0905,0.0095,0.1027,0.0027,0.0906,0.0102,0.1029,0.005,0.1118,0.0106,0.1289,0.009,0.1327,0.0126,0.1551,0.0126,0.1215,0.0093,0.1442,0.0146,0.0574,0.0062,0.0797,0.0126,0.012,0.0022,0.0289,0.0727,0.8411,0.085,1.0
Evelyn,0.0002,0.0315,0.0005,0.033,0.0045,0.0599,0.0018,0.0669,0.0008,0.0293,0.0008,0.0319,0.0008,0.0281,0.0002,0.03,0.0007,0.0623,0.0015,0.066,0.0007,0.0626,0.0015,0.0664,0.0014,0.0584,0.0018,0.0639,0.0019,0.0544,0.0011,0.0585,0.0028,0.0402,0.0009,0.0452,0.0034,0.0204,0.0005,0.0256,0.0016,0.0026,0.0002,0.0061,0.0255,0.4516,0.0166,0.4937,0.0001,0.0305,0.0004,0.0317,0.0013,0.0586,0.0012,0.0623,0.0005,0.0285,0.0005,0.0303,0.0003,0.0271,0.0004,0.0289,0.0008,0.0626,0.0013,0.0661,0.001,0.064,0.0012,0.0677,0.0016,0.0643,0.0011,0.0688,0.0019,0.0579,0.0011,0.0618,0.0035,0.046,0.0008,0.0507,0.005,0.0211,0.0007,0.0278,0.0048,0.0031,0.0001,0.0095,0.0285,0.4622,0.0149,0.5052,0.0006,0.0627,0.0015,0.0656,0.0071,0.1174,0.0036,0.1282,0.0021,0.057,0.0014,0.0622,0.0014,0.0554,0.0008,0.058,0.0026,0.1248,0.0042,0.1314,0.0022,0.1271,0.0035,0.1343,0.0041,0.1224,0.0037,0.1311,0.0046,0.1116,0.0028,0.1213,0.0071,0.0863,0.0022,0.0956,0.0086,0.0426,0.0015,0.0532,0.0078,0.0074,0.0003,0.0165,0.0537,0.9145,0.0309,1.0
Footscray,0.0,0.0286,0.0007,0.03,0.002,0.0452,0.002,0.0501,0.0001,0.0173,0.0004,0.019,0.0003,0.03,0.0013,0.0324,0.0005,0.105,0.0072,0.1137,0.0004,0.087,0.0044,0.0932,0.0013,0.0594,0.0026,0.0654,0.002,0.041,0.0019,0.0463,0.0033,0.0232,0.0014,0.0288,0.0037,0.0081,0.0006,0.0144,0.0027,0.0016,0.0001,0.0054,0.0224,0.4502,0.0285,0.5005,0.0,0.026,0.0005,0.0283,0.0007,0.0427,0.0013,0.046,0.0002,0.0173,0.0005,0.0184,0.0001,0.0304,0.0012,0.0324,0.0011,0.1048,0.0058,0.1133,0.0007,0.0845,0.0033,0.0904,0.0013,0.0606,0.0019,0.065,0.003,0.0436,0.0016,0.0486,0.0046,0.0241,0.0008,0.0299,0.0069,0.0088,0.0007,0.0175,0.006,0.0022,0.0008,0.0098,0.0299,0.4445,0.0246,0.4987,0.0002,0.0549,0.0014,0.0571,0.0034,0.0879,0.0042,0.0959,0.0005,0.0354,0.0013,0.0386,0.0006,0.0607,0.0033,0.065,0.0026,0.2099,0.0136,0.2272,0.002,0.171,0.0086,0.1825,0.0029,0.1204,0.0054,0.1299,0.0059,0.0844,0.0042,0.0956,0.0086,0.0466,0.0027,0.0599,0.0116,0.0174,0.0016,0.0315,0.0094,0.005,0.001,0.0163,0.0525,0.8951,0.0536,1.0
Frankston,0.0003,0.0257,0.0013,0.0282,0.0035,0.0505,0.003,0.0586,0.0005,0.0257,0.0012,0.0285,0.0005,0.0247,0.0011,0.0268,0.0017,0.0605,0.0048,0.068,0.0015,0.0579,0.0033,0.0649,0.0018,0.0577,0.0048,0.066,0.0032,0.051,0.0032,0.0589,0.0042,0.0389,0.0017,0.0469,0.0037,0.0217,0.0013,0.029,0.0031,0.0044,0.0006,0.0102,0.0325,0.4195,0.0345,0.486,0.0,0.0252,0.0012,0.0279,0.0023,0.0497,0.003,0.0566,0.0004,0.0223,0.0011,0.026,0.0005,0.0245,0.0012,0.0274,0.0012,0.0623,0.0041,0.0707,0.0019,0.0626,0.0038,0.0697,0.0033,0.0599,0.0033,0.0681,0.0041,0.0546,0.0023,0.0624,0.005,0.045,0.0019,0.0534,0.0067,0.0255,0.002,0.0355,0.0094,0.0066,0.0014,0.0181,0.0404,0.441,0.0332,0.5139,0.001,0.0505,0.003,0.0562,0.0069,0.0993,0.0075,0.1145,0.0019,0.0465,0.0032,0.0537,0.0014,0.0481,0.0031,0.0548,0.0037,0.123,0.0099,0.1382,0.0043,0.1215,0.009,0.1347,0.0059,0.1173,0.0084,0.1331,0.0079,0.1053,0.0072,0.1219,0.0098,0.0848,0.0046,0.1012,0.0122,0.0466,0.0037,0.0639,0.0139,0.0129,0.0027,0.0293,0.0736,0.8591,0.0673,1.0
Geelong,0.0001,0.0276,0.0008,0.029,0.003,0.0524,0.0025,0.0591,0.0008,0.0243,0.0008,0.027,0.0005,0.0301,0.0014,0.0328,0.001,0.0684,0.0036,0.0744,0.001,0.0569,0.0029,0.0616,0.0014,0.0556,0.0029,0.0617,0.002,0.0504,0.0024,0.0566,0.0039,0.0407,0.0014,0.0479,0.0039,0.0193,0.0009,0.0256,0.0025,0.0036,0.0007,0.0085,0.0285,0.4301,0.027,0.4844,0.0,0.0253,0.0005,0.0263,0.0014,0.0506,0.0022,0.0549,0.0003,0.0241,0.0005,0.026,0.0004,0.0297,0.0008,0.0321,0.0009,0.0703,0.0029,0.0759,0.0013,0.0612,0.0025,0.0673,0.0024,0.0593,0.0019,0.0653,0.0032,0.0575,0.0018,0.0632,0.0049,0.047,0.0015,0.0541,0.0069,0.0236,0.002,0.0333,0.0074,0.0053,0.0012,0.0155,0.0341,0.4563,0.0247,0.5153,0.0003,0.052,0.0017,0.0555,0.0052,0.103,0.0049,0.1144,0.0015,0.0477,0.0015,0.0525,0.0015,0.0594,0.0029,0.0642,0.0026,0.1396,0.0068,0.1502,0.0029,0.1187,0.0066,0.1295,0.0044,0.1148,0.0057,0.126,0.0069,0.1076,0.0054,0.1205,0.0091,0.0888,0.0044,0.1033,0.0113,0.0425,0.0036,0.059,0.0115,0.0099,0.0024,0.025,0.0629,0.8866,0.0508,1.0
Gippsland East,0.0,0.0224,0.0016,0.0246,0.0034,0.0478,0.0042,0.0562,0.0008,0.0223,0.0011,0.0261,0.0004,0.0181,0.0013,0.0209,0.0009,0.0411,0.0026,0.0452,0.001,0.0397,0.0036,0.0453,0.0018,0.0466,0.0043,0.0538,0.0037,0.0653,0.0052,0.0755,0.0064,0.0742,0.0052,0.087,0.0078,0.0345,0.0025,0.0459,0.0035,0.0056,0.0007,0.0119,0.0369,0.4171,0.039,0.4926,0.0,0.0202,0.0012,0.0218,0.0015,0.0478,0.0037,0.0554,0.0004,0.0221,0.0014,0.024,0.0003,0.0167,0.0007,0.019,0.0008,0.0443,0.0031,0.0498,0.0008,0.0447,0.0033,0.0503,0.0023,0.0538,0.0037,0.0608,0.0043,0.0707,0.0048,0.0813,0.0059,0.0715,0.0045,0.0828,0.0081,0.0352,0.003,0.0463,0.0067,0.0066,0.0016,0.0157,0.0371,0.4324,0.0378,0.5073,0.0,0.0423,0.003,0.0471,0.0059,0.0963,0.009,0.111,0.0013,0.0438,0.0034,0.0499,0.001,0.0345,0.0025,0.0395,0.0018,0.0849,0.0074,0.0954,0.0026,0.0852,0.0077,0.0961,0.0052,0.1006,0.0079,0.1148,0.0101,0.1364,0.0106,0.1563,0.0132,0.1456,0.0108,0.1698,0.0156,0.0695,0.0063,0.0916,0.011,0.0132,0.0029,0.028,0.0736,0.8501,0.0766,1.0
Gippsland South,0.0002,0.0231,0.001,0.0258,0.0035,0.0528,0.004,0.0611,0.001,0.025,0.001,0.0281,0.0009,0.0191,0.0013,0.0231,0.0008,0.0417,0.0077,0.0522,0.0012,0.0447,0.0075,0.0547,0.0021,0.0523,0.005,0.0613,0.0035,0.0651,0.0059,0.0744,0.0053,0.0634,0.0045,0.0749,0.0055,0.0266,0.0016,0.0356,0.0039,0.0043,0.0007,0.0097,0.0336,0.4195,0.0472,0.5004,0.0,0.0214,0.0015,0.0241,0.0011,0.0498,0.0029,0.0555,0.0005,0.0239,0.001,0.027,0.0002,0.017,0.0009,0.0193,0.0007,0.0442,0.0024,0.0494,0.0013,0.0475,0.0034,0.0538,0.0023,0.0591,0.0033,0.0662,0.0042,0.07,0.004,0.08,0.0061,0.0626,0.0039,0.0736,0.0063,0.0275,0.0017,0.0368,0.0063,0.0056,0.0011,0.0143,0.035,0.4315,0.0341,0.4992,0.0002,0.0441,0.0038,0.049,0.0053,0.1026,0.0078,0.1169,0.002,0.0481,0.0025,0.0541,0.0017,0.037,0.003,0.043,0.0024,0.0856,0.0117,0.1009,0.0031,0.0924,0.012,0.1095,0.0055,0.1114,0.0087,0.1263,0.0082,0.1357,0.0099,0.1547,0.0124,0.1258,0.0085,0.1476,0.0134,0.054,0.0046,0.0725,0.0114,0.0108,0.002,0.0243,0.0683,0.8511,0.0807,1.0
Glen Waverley,0.0,0.0194,0.0002,0.0205,0.0012,0.0604,0.0014,0.0645,0.0002,0.0316,0.0006,0.0335,0.0001,0.034,0.0012,0.036,0.0002,0.052,0.0014,0.055,0.0004,0.0586,0.0016,0.0615,0.0006,0.0612,0.0013,0.0642,0.0007,0.0539,0.0006,0.0566,0.0024,0.0425,0.0009,0.0479,0.0052,0.0277,0.0009,0.0355,0.0053,0.006,0.0009,0.0138,0.0236,0.4481,0.0174,0.4881,0.0,0.0176,0.0003,0.019,0.0004,0.0572,0.0015,0.0608,0.0,0.0292,0.0003,0.0308,0.0001,0.0279,0.0005,0.0294,0.0002,0.0483,0.0013,0.0512,0.0002,0.0678,0.0017,0.0704,0.0012,0.0677,0.0012,0.0714,0.0016,0.0561,0.0006,0.0606,0.0045,0.0503,0.0008,0.0565,0.0091,0.0305,0.0011,0.042,0.01,0.0067,0.0022,0.0198,0.0321,0.4589,0.0187,0.51,0.0001,0.0377,0.0009,0.0399,0.0022,0.1177,0.0033,0.1242,0.0004,0.0611,0.0013,0.0646,0.0003,0.0618,0.0019,0.0654,0.0006,0.0993,0.0038,0.1059,0.0009,0.1255,0.0046,0.1319,0.002,0.1287,0.0033,0.1356,0.0034,0.1101,0.0024,0.1165,0.0072,0.0922,0.0029,0.1036,0.0154,0.0587,0.0026,0.0769,0.0159,0.0134,0.0034,0.034,0.0558,0.9069,0.0366,1.0
Greenvale,0.0001,0.0324,0.0019,0.0349,0.0035,0.0673,0.0042,0.0755,0.0008,0.0344,0.0009,0.0381,0.0003,0.0357,0.0017,0.0391,0.0009,0.0657,0.004,0.0717,0.0011,0.0584,0.0033,0.0646,0.0035,0.0556,0.0026,0.0629,0.0064,0.0504,0.002,0.0607,0.0064,0.0242,0.0007,0.0323,0.0047,0.0081,0.0002,0.014,0.0011,0.0004,0.0001,0.0023,0.0361,0.4324,0.0274,0.4967,0.0002,0.0292,0.0014,0.0321,0.0013,0.0659,0.0039,0.0719,0.0002,0.034,0.0014,0.0371,0.0004,0.0356,0.0014,0.0384,0.0008,0.0665,0.0031,0.072,0.0015,0.0636,0.0036,0.0697,0.0048,0.0614,0.0029,0.0707,0.0082,0.0479,0.0018,0.0591,0.0084,0.0239,0.0008,0.034,0.0061,0.0059,0.0006,0.0141,0.0023,0.0004,0.0001,0.0034,0.0409,0.4351,0.0263,0.5034,0.0004,0.0616,0.0041,0.0665,0.0058,0.1327,0.0091,0.1482,0.0016,0.0678,0.0032,0.0734,0.0012,0.0719,0.0037,0.0777,0.0027,0.1324,0.0076,0.1431,0.0033,0.1219,0.0078,0.1338,0.0094,0.1177,0.0067,0.1339,0.016,0.0991,0.0051,0.1185,0.0155,0.0486,0.002,0.0666,0.0119,0.0144,0.0011,0.0286,0.0042,0.0011,0.0002,0.0067,0.0766,0.8682,0.0537,1.0
Hastings,0.0004,0.029,0.0009,0.0309,0.0039,0.0557,0.0029,0.0642,0.0012,0.0301,0.0005,0.0333,0.0003,0.0294,0.0006,0.0314,0.0005,0.0568,0.0021,0.0613,0.0009,0.055,0.0031,0.0603,0.0014,0.0554,0.0024,0.0607,0.0018,0.0561,0.0021,0.0618,0.0031,0.0448,0.0017,0.0514,0.0031,0.0216,0.0012,0.0278,0.0025,0.0034,0.0004,0.0076,0.028,0.4387,0.0243,0.4899,0.0002,0.0272,0.0005,0.0285,0.0017,0.0562,0.002,0.0612,0.0006,0.0267,0.0009,0.0294,0.0002,0.0239,0.0005,0.0257,0.0009,0.0593,0.0018,0.0637,0.0008,0.0597,0.002,0.0646,0.0018,0.0623,0.0018,0.0689,0.0032,0.063,0.0019,0.0692,0.0043,0.0496,0.0018,0.0568,0.0059,0.0236,0.0014,0.0315,0.005,0.0041,0.0007,0.011,0.031,0.4554,0.0231,0.5098,0.0007,0.0565,0.0016,0.0595,0.0061,0.1116,0.0059,0.1259,0.002,0.0562,0.002,0.062,0.0008,0.0527,0.0015,0.0571,0.002,0.1162,0.0046,0.1238,0.0027,0.1149,0.0061,0.1251,0.0043,0.1189,0.0052,0.1294,0.0063,0.1192,0.0053,0.1308,0.0087,0.0951,0.0044,0.1084,0.0109,0.0455,0.003,0.06,0.0084,0.0083,0.0015,0.0193,0.058,0.8945,0.0473,1.0
Hawthorn,0.0001,0.0187,0.0004,0.0194,0.0009,0.0512,0.0012,0.0544,0.0002,0.0313,0.0005,0.0325,0.0001,0.0378,0.0009,0.0394,0.0002,0.0738,0.0025,0.0788,0.0002,0.058,0.0016,0.0611,0.0005,0.0578,0.0013,0.0612,0.0004,0.0506,0.0008,0.0533,0.0011,0.0391,0.0009,0.042,0.0033,0.0197,0.0004,0.0251,0.0042,0.0043,0.0003,0.01,0.0165,0.4411,0.0175,0.4759,0.0001,0.0191,0.0003,0.0195,0.0005,0.0489,0.0008,0.0517,0.0001,0.0306,0.0006,0.0326,0.0001,0.0389,0.001,0.041,0.0005,0.0783,0.0023,0.0827,0.0002,0.065,0.0014,0.0673,0.0005,0.0672,0.001,0.0701,0.001,0.0556,0.0014,0.059,0.0017,0.0457,0.0009,0.0502,0.0065,0.0235,0.0008,0.0316,0.0099,0.0058,0.0007,0.018,0.0268,0.4791,0.0187,0.5239,0.0002,0.0373,0.0011,0.0392,0.0018,0.1004,0.0025,0.1061,0.0004,0.0619,0.0017,0.0649,0.0003,0.0764,0.0025,0.0808,0.001,0.1522,0.0062,0.1592,0.0005,0.1231,0.0048,0.1278,0.0012,0.1248,0.0033,0.1314,0.0022,0.1061,0.0027,0.1126,0.0032,0.0848,0.0027,0.0919,0.0105,0.0438,0.002,0.0574,0.0161,0.011,0.0012,0.0285,0.0432,0.9203,0.037,1.0
Ivanhoe,0.0001,0.0257,0.0003,0.0271,0.0016,0.0544,0.0021,0.0588,0.0002,0.0271,0.0005,0.0281,0.0002,0.0283,0.0012,0.0298,0.0008,0.064,0.0029,0.0683,0.0009,0.0661,0.0023,0.0704,0.0011,0.0598,0.0013,0.0637,0.0023,0.0521,0.0014,0.057,0.0028,0.0385,0.0009,0.0436,0.0039,0.0192,0.0001,0.0254,0.0044,0.0051,0.0003,0.0112,0.0258,0.439,0.0196,0.4843,0.0,0.0253,0.0003,0.0263,0.0008,0.0554,0.0018,0.0589,0.0003,0.0248,0.0004,0.0261,0.0003,0.028,0.0005,0.0301,0.0006,0.067,0.0024,0.0713,0.0006,0.0693,0.002,0.0734,0.0008,0.0644,0.0015,0.0679,0.0028,0.0578,0.0013,0.0619,0.004,0.0414,0.0011,0.0488,0.0073,0.0235,0.0006,0.0314,0.0114,0.0054,0.0006,0.019,0.0345,0.4628,0.0187,0.5152,0.0001,0.0505,0.001,0.0528,0.0027,0.1116,0.0043,0.1189,0.0009,0.0511,0.0013,0.0549,0.0007,0.056,0.0023,0.0596,0.0019,0.1317,0.0058,0.1397,0.0018,0.1353,0.0055,0.1432,0.0027,0.1243,0.0036,0.1324,0.0055,0.1091,0.0036,0.1194,0.0083,0.0798,0.0027,0.0921,0.0119,0.0426,0.0012,0.0557,0.0166,0.0112,0.001,0.0301,0.0605,0.9022,0.0377,1.0
Kalkallo,0.0003,0.0482,0.0026,0.0519,0.004,0.0762,0.0041,0.0859,0.0005,0.0255,0.001,0.0293,0.0004,0.0306,0.0019,0.033,0.0006,0.0845,0.004,0.0907,0.001,0.0887,0.0038,0.0951,0.0018,0.0448,0.0017,0.0511,0.0031,0.0307,0.0012,0.0365,0.0028,0.016,0.0005,0.0205,0.0018,0.0038,0.0002,0.0068,0.0005,0.0005,0.0001,0.0011,0.0233,0.4523,0.0274,0.5032,0.0001,0.0458,0.0024,0.0496,0.0013,0.0732,0.0044,0.0802,0.0003,0.0253,0.0009,0.0278,0.0,0.0277,0.0011,0.0295,0.0005,0.0952,0.0044,0.1016,0.0013,0.0829,0.0035,0.0896,0.0029,0.0438,0.0016,0.0503,0.0037,0.0316,0.0012,0.038,0.0043,0.016,0.0005,0.0215,0.0026,0.0033,0.0003,0.0078,0.0011,0.0004,0.0003,0.0019,0.0239,0.4461,0.0272,0.4971,0.0004,0.0939,0.0057,0.1014,0.0064,0.1501,0.0095,0.166,0.0014,0.0511,0.0028,0.056,0.0007,0.0577,0.0031,0.0625,0.0018,0.1799,0.0106,0.1925,0.0032,0.1714,0.0088,0.1845,0.0055,0.0891,0.0045,0.1004,0.0078,0.0615,0.0027,0.0738,0.0084,0.0318,0.0014,0.0422,0.0054,0.0077,0.0007,0.0149,0.0018,0.0009,0.0004,0.0034,0.0477,0.8977,0.054,1.0
Kew,0.0,0.0182,0.0003,0.019,0.0009,0.0609,0.0009,0.0649,0.0003,0.0382,0.0006,0.0397,0.0001,0.0345,0.0003,0.0362,0.0004,0.0501,0.0011,0.0526,0.0006,0.05,0.0009,0.0512,0.0008,0.0641,0.0015,0.0675,0.0011,0.0593,0.0011,0.0634,0.0015,0.042,0.0007,0.0463,0.0029,0.0219,0.0005,0.0274,0.0042,0.0067,0.0004,0.0122,0.0191,0.4453,0.0154,0.4811,0.0,0.0166,0.0002,0.0176,0.0003,0.0598,0.001,0.0625,0.0001,0.0353,0.0006,0.0367,0.0001,0.0317,0.0005,0.0333,0.0002,0.0492,0.0008,0.0521,0.0002,0.0609,0.0009,0.0629,0.0004,0.0761,0.0019,0.0795,0.0014,0.0648,0.001,0.0681,0.0026,0.0477,0.0011,0.0527,0.0065,0.0269,0.0012,0.0348,0.0114,0.0071,0.001,0.0212,0.0278,0.4758,0.017,0.521,0.0,0.0353,0.0008,0.0371,0.0014,0.1209,0.0031,0.1269,0.0005,0.0731,0.0016,0.0769,0.0005,0.0649,0.0015,0.0685,0.0009,0.0993,0.0027,0.104,0.0009,0.1097,0.0027,0.1143,0.0017,0.1401,0.0044,0.1472,0.003,0.124,0.0032,0.131,0.0054,0.0895,0.0026,0.0979,0.0105,0.0489,0.0022,0.0624,0.0169,0.0143,0.0013,0.0331,0.0465,0.9222,0.0318,1.0
