district,M_0_4_yrs_Need_for_assistance_n,M_0_4_No_need_for_assistance_n,M_0_4_Need_for_assistance_ns_n,M_0_4_yrs_Tot_n,M_5_14_Need_for_assistance_n,M_5_14_No_need_for_assistance_n,M_5_14_Need_for_assistance_ns_n,M_5_14_yrs_Tot_n,M_15_19_Need_for_assistance_n,M_15_19_No_need_for_assistnce_n,M_15_19_Need_for_assistnce_ns_n,M_15_19_yrs_Tot_n,M_20_24_Need_for_assistance_n,M_20_24_No_need_for_assistnce_n,M_20_24_Need_for_assistnce_ns_n,M_20_24_yrs_Tot_n,M_25_34_Need_for_assistance_n,M_25_34_No_need_for_assistnce_n,M_25_34_Need_for_assistnce_ns_n,M_25_34_yrs_Tot_n,M_35_44_Need_for_assistance_n,M_35_44_No_need_for_assistnce_n,M_35_44_Need_for_assistnce_ns_n,M_35_44_yrs_Tot_n,M_45_54_Need_for_assistance_n,M_45_54_No_need_for_assistnce_n,M_45_54_Need_for_assistnce_ns_n,M_45_54_yrs_Tot_n,M_55_64_Need_for_assistance_n,M_55_64_No_need_for_assistnce_n,M_55_64_Need_for_assistnce_ns_n,M_55_64_yrs_Tot_n,M_65_74_Need_for_assistance_n,M_65_74_No_need_for_assistnce_n,M_65_74_Need_for_assistnce_ns_n,M_65_74_yrs_Tot_n,M_75_84_Need_for_assistance_n,M_75_84_No_need_for_assistnce_n,M_75_84_Need_for_assistnce_ns_n,M_75_84_yrs_Tot_n,M_85_over_Need_for_assistance_n,M_85_ov_No_need_for_assistnce_n,M_85_ov_Need_for_assistnce_ns_n,M_85_yrs_over_Tot_n,M_Tot_Need_for_assistance_n,M_Tot_No_need_for_assistance_n,M_Tot_Need_for_assistance_ns_n,M_Tot_Tot_n,F_0_4_yrs_Need_for_assistance_n,F_0_4_No_need_for_assistance_n,F_0_4_Need_for_assistance_ns_n,F_0_4_yrs_Tot_n,F_5_14_Need_for_assistance_n,F_5_14_No_need_for_assistance_n,F_5_14_Need_for_assistance_ns_n,F_5_14_yrs_Tot_n,F_15_19_Need_for_assistance_n,F_15_19_No_need_for_assistnce_n,F_15_19_Need_for_assistnce_ns_n,F_15_19_yrs_Tot_n,F_20_24_Need_for_assistance_n,F_20_24_No_need_for_assistnce_n,F_20_24_Need_for_assistnce_ns_n,F_20_24_yrs_Tot_n,F_25_34_Need_for_assistance_n,F_25_34_No_need_for_assistnce_n,F_25_34_Need_for_assistnce_ns_n,F_25_34_yrs_Tot_n,F_35_44_Need_for_assistance_n,F_35_44_No_need_for_assistnce_n,F_35_44_Need_for_assistnce_ns_n,F_35_44_yrs_Tot_n,F_45_54_Need_for_assistance_n,F_45_54_No_need_for_assistnce_n,F_45_54_Need_for_assistnce_ns_n,F_45_54_yrs_Tot_n,F_55_64_Need_for_assistance_n,F_55_64_No_need_for_assistnce_n,F_55_64_Need_for_assistnce_ns_n,F_55_64_yrs_Tot_n,F_65_74_Need_for_assistance_n,F_65_74_No_need_for_assistnce_n,F_65_74_Need_for_assistnce_ns_n,F_65_74_yrs_Tot_n,F_75_84_Need_for_assistance_n,F_75_84_No_need_for_assistnce_n,F_75_84_Need_for_assistnce_ns_n,F_75_84_yrs_Tot_n,F_85_over_Need_for_assistance_n,F_85_ov_No_need_for_assistnce_n,F_85_ov_Need_for_assistnce_ns_n,F_85_yrs_over_Tot_n,F_Tot_Need_for_assistance_n,F_Tot_No_need_for_assistance_n,F_Tot_Need_for_assistance_ns_n,F_Tot_Tot_n,P_0_4_yrs_Need_for_assistance_n,P_0_4_No_need_for_assistance_n,P_0_4_Need_for_assistance_ns_n,P_0_4_yrs_Tot_n,P_5_14_Need_for_assistance_n,P_5_14_No_need_for_assistance_n,P_5_14_Need_for_assistance_ns_n,P_5_14_yrs_Tot_n,P_15_19_Need_for_assistance_n,P_15_19_No_need_for_assistnce_n,P_15_19_Need_for_assistnce_ns_n,P_15_19_yrs_Tot_n,P_20_24_Need_for_assistance_n,P_20_24_No_need_for_assistnce_n,P_20_24_Need_for_assistnce_ns_n,P_20_24_yrs_Tot_n,P_25_34_Need_for_assistance_n,P_25_34_No_need_for_assistnce_n,P_25_34_Need_for_assistnce_ns_n,P_25_34_yrs_Tot_n,P_35_44_Need_for_assistance_n,P_35_44_No_need_for_assistnce_n,P_35_44_Need_for_assistnce_ns_n,P_35_44_yrs_Tot_n,P_45_54_Need_for_assistance_n,P_45_54_No_need_for_assistnce_n,P_45_54_Need_for_assistnce_ns_n,P_45_54_yrs_Tot_n,P_55_64_Need_for_assistance_n,P_55_64_No_need_for_assistnce_n,P_55_64_Need_for_assistnce_ns_n,P_55_64_yrs_Tot_n,P_65_74_Need_for_assistance_n,P_65_74_No_need_for_assistnce_n,P_65_74_Need_for_assistnce_ns_n,P_65_74_yrs_Tot_n,P_75_84_Need_for_assistance_n,P_75_84_No_need_for_assistnce_n,P_75_84_Need_for_assistnce_ns_n,P_75_84_yrs_Tot_n,P_85_over_Need_for_assistance_n,P_85_ov_No_need_for_assistnce_n,P_85_ov_Need_for_assistnce_ns_n,P_85_yrs_over_Tot_n,P_Tot_Need_for_assistance_n,P_Tot_No_need_for_assistance_n,P_Tot_Need_for_assistance_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Evelyn,17.0,2179.0,34.0,2284.0,308.0,4142.0,122.0,4625.0,56.0,2025.0,53.0,2205.0,55.0,1946.0,17.0,2071.0,47.0,4305.0,101.0,4563.0,50.0,4327.0,102.0,4594.0,94.0,4035.0,124.0,4416.0,132.0,3763.0,74.0,4044.0,192.0,2782.0,63.0,3128.0,236.0,1411.0,33.0,1772.0,108.0,179.0,15.0,423.0,1760.0,31229.0,1146.0,34136.0,9.0,2107.0,27.0,2191.0,91.0,4053.0,80.0,4310.0,33.0,1969.0,36.0,2097.0,19.0,1871.0,25.0,1999.0,58.0,4331.0,92.0,4571.0,67.0,4426.0,81.0,4680.0,112.0,4446.0,77.0,4758.0,133.0,4002.0,78.0,4271.0,239.0,3183.0,55.0,3507.0,348.0,1462.0,50.0,1923.0,330.0,213.0,10.0,654.0,1974.0,31959.0,1029.0,34930.0,41.0,4334.0,101.0,4538.0,494.0,8118.0,249.0,8867.0,146.0,3943.0,97.0,4301.0,96.0,3830.0,57.0,4009.0,177.0,8632.0,291.0,9085.0,153.0,8785.0,245.0,9284.0,284.0,8463.0,255.0,9066.0,319.0,7716.0,197.0,8390.0,488.0,5967.0,152.0,6613.0,597.0,2943.0,104.0,3681.0,536.0,512.0,24.0,1138.0,3712.0,63232.0,2135.0,69146.0,69146.0
Footscray,3.0,2074.0,49.0,2181.0,143.0,3280.0,145.0,3638.0,8.0,1257.0,30.0,1381.0,22.0,2179.0,97.0,2355.0,39.0,7625.0,526.0,8253.0,30.0,6319.0,318.0,6763.0,96.0,4313.0,191.0,4750.0,146.0,2976.0,137.0,3358.0,237.0,1682.0,99.0,2092.0,272.0,589.0,45.0,1046.0,197.0,113.0,4.0,391.0,1629.0,32686.0,2072.0,36338.0,3.0,1891.0,39.0,2056.0,51.0,3098.0,94.0,3342.0,17.0,1255.0,35.0,1333.0,10.0,2210.0,90.0,2350.0,79.0,7605.0,420.0,8222.0,49.0,6134.0,239.0,6563.0,95.0,4400.0,139.0,4722.0,216.0,3163.0,117.0,3526.0,337.0,1752.0,58.0,2173.0,500.0,637.0,49.0,1273.0,438.0,161.0,58.0,710.0,2174.0,32269.0,1784.0,36202.0,13.0,3984.0,102.0,4149.0,246.0,6384.0,303.0,6964.0,33.0,2568.0,93.0,2801.0,42.0,4408.0,239.0,4721.0,189.0,15238.0,990.0,16493.0,143.0,12417.0,625.0,13250.0,214.0,8741.0,391.0,9430.0,431.0,6125.0,304.0,6938.0,627.0,3384.0,195.0,4349.0,843.0,1260.0,116.0,2289.0,685.0,361.0,69.0,1186.0,3815.0,64984.0,3892.0,72600.0,72600.0
Frankston,21.0,1754.0,90.0,1927.0,239.0,3449.0,205.0,4008.0,33.0,1760.0,83.0,1951.0,35.0,1687.0,78.0,1831.0,116.0,4137.0,325.0,4647.0,102.0,3956.0,223.0,4437.0,125.0,3941.0,327.0,4512.0,222.0,3485.0,216.0,4024.0,290.0,2656.0,118.0,3207.0,255.0,1480.0,87.0,1980.0,210.0,301.0,42.0,700.0,2225.0,28676.0,2359.0,33224.0,3.0,1723.0,79.0,1904.0,160.0,3399.0,206.0,3867.0,30.0,1523.0,76.0,1777.0,33.0,1672.0,83.0,1870.0,85.0,4259.0,281.0,4835.0,133.0,4278.0,261.0,4763.0,229.0,4094.0,226.0,4657.0,282.0,3730.0,157.0,4266.0,341.0,3078.0,130.0,3651.0,461.0,1741.0,138.0,2426.0,645.0,454.0,98.0,1240.0,2759.0,30144.0,2269.0,35133.0,66.0,3449.0,208.0,3844.0,471.0,6789.0,510.0,7829.0,128.0,3182.0,216.0,3670.0,95.0,3286.0,215.0,3746.0,251.0,8408.0,676.0,9449.0,293.0,8303.0,614.0,9208.0,402.0,8017.0,576.0,9101.0,538.0,7198.0,495.0,8332.0,672.0,5794.0,314.0,6920.0,832.0,3184.0,255.0,4367.0,953.0,885.0,184.0,2006.0,5033.0,58729.0,4603.0,68359.0,68359.0
Geelong,10.0,1985.0,54.0,2088.0,218.0,3769.0,180.0,4250.0,59.0,1745.0,56.0,1938.0,38.0,2166.0,102.0,2356.0,75.0,4920.0,261.0,5349.0,73.0,4094.0,207.0,4429.0,103.0,3998.0,205.0,4435.0,146.0,3624.0,171.0,4069.0,284.0,2925.0,101.0,3441.0,282.0,1386.0,68.0,1844.0,182.0,262.0,47.0,609.0,2049.0,30925.0,1944.0,34828.0,3.0,1819.0,37.0,1888.0,101.0,3636.0,160.0,3950.0,23.0,1735.0,33.0,1866.0,27.0,2135.0,61.0,2306.0,68.0,5056.0,208.0,5461.0,91.0,4400.0,177.0,4838.0,170.0,4263.0,135.0,4697.0,229.0,4132.0,132.0,4544.0,355.0,3383.0,108.0,3891.0,498.0,1695.0,147.0,2398.0,531.0,383.0,86.0,1117.0,2452.0,32810.0,1779.0,37052.0,21.0,3739.0,119.0,3988.0,374.0,7407.0,355.0,8227.0,105.0,3428.0,108.0,3777.0,105.0,4273.0,210.0,4618.0,189.0,10039.0,487.0,10800.0,208.0,8536.0,473.0,9315.0,318.0,8257.0,409.0,9062.0,495.0,7738.0,386.0,8664.0,656.0,6385.0,314.0,7428.0,812.0,3056.0,257.0,4240.0,824.0,715.0,169.0,1799.0,4525.0,63752.0,3656.0,71905.0,71905.0
Gippsland East,0.0,1432.0,100.0,1573.0,220.0,3055.0,269.0,3595.0,50.0,1427.0,73.0,1668.0,24.0,1156.0,80.0,1339.0,57.0,2625.0,169.0,2887.0,62.0,2538.0,228.0,2898.0,116.0,2981.0,276.0,3441.0,239.0,4176.0,331.0,4826.0,412.0,4745.0,335.0,5565.0,497.0,2209.0,160.0,2933.0,225.0,358.0,46.0,758.0,2361.0,26672.0,2495.0,31499.0,0.0,1294.0,77.0,1393.0,96.0,3054.0,236.0,3541.0,25.0,1411.0,91.0,1532.0,18.0,1069.0,47.0,1215.0,54.0,2832.0,199.0,3186.0,53.0,2859.0,210.0,3214.0,148.0,3442.0,236.0,3887.0,272.0,4522.0,310.0,5198.0,376.0,4570.0,286.0,5295.0,515.0,2251.0,190.0,2963.0,426.0,422.0,101.0,1007.0,2374.0,27648.0,2419.0,32435.0,3.0,2706.0,190.0,3011.0,379.0,6157.0,578.0,7095.0,80.0,2803.0,217.0,3190.0,62.0,2208.0,160.0,2523.0,115.0,5429.0,470.0,6102.0,166.0,5449.0,495.0,6146.0,334.0,6431.0,508.0,7341.0,647.0,8720.0,678.0,9995.0,847.0,9307.0,688.0,10860.0,996.0,4443.0,400.0,5857.0,706.0,843.0,184.0,1791.0,4707.0,54354.0,4899.0,63940.0,63940.0
Gippsland South,13.0,1517.0,68.0,1698.0,229.0,3476.0,261.0,4024.0,66.0,1646.0,69.0,1848.0,57.0,1256.0,88.0,1522.0,55.0,2746.0,506.0,3435.0,82.0,2939.0,491.0,3600.0,137.0,3445.0,326.0,4037.0,229.0,4287.0,390.0,4897.0,351.0,4174.0,299.0,4927.0,365.0,1753.0,105.0,2345.0,256.0,285.0,47.0,637.0,2213.0,27610.0,3107.0,32933.0,0.0,1411.0,101.0,1588.0,75.0,3278.0,194.0,3653.0,34.0,1575.0,69.0,1775.0,13.0,1120.0,57.0,1272.0,44.0,2911.0,161.0,3248.0,88.0,3127.0,224.0,3543.0,154.0,3888.0,214.0,4356.0,276.0,4609.0,261.0,5264.0,400.0,4117.0,259.0,4844.0,415.0,1808.0,114.0,2423.0,414.0,371.0,70.0,942.0,2305.0,28399.0,2246.0,32852.0,11.0,2901.0,249.0,3224.0,347.0,6754.0,514.0,7692.0,129.0,3164.0,164.0,3559.0,110.0,2436.0,198.0,2831.0,157.0,5636.0,771.0,6638.0,201.0,6081.0,788.0,7206.0,364.0,7331.0,575.0,8309.0,542.0,8929.0,649.0,10184.0,814.0,8281.0,561.0,9711.0,880.0,3551.0,304.0,4768.0,750.0,710.0,133.0,1598.0,4493.0,56008.0,5310.0,65810.0,65810.0
Glen Waverley,3.0,1601.0,19.0,1691.0,97.0,4984.0,119.0,5317.0,20.0,2606.0,46.0,2765.0,8.0,2805.0,95.0,2970.0,20.0,4289.0,119.0,4535.0,34.0,4830.0,136.0,5074.0,46.0,5049.0,105.0,5294.0,56.0,4441.0,47.0,4664.0,201.0,3508.0,75.0,3951.0,429.0,2286.0,78.0,2929.0,435.0,497.0,72.0,1138.0,1945.0,36953.0,1431.0,40253.0,0.0,1455.0,25.0,1563.0,37.0,4720.0,120.0,5011.0,3.0,2407.0,28.0,2536.0,8.0,2303.0,39.0,2425.0,17.0,3979.0,111.0,4223.0,20.0,5592.0,140.0,5808.0,100.0,5582.0,101.0,5889.0,136.0,4625.0,51.0,5000.0,372.0,4151.0,69.0,4657.0,751.0,2517.0,89.0,3463.0,826.0,553.0,185.0,1635.0,2650.0,37847.0,1544.0,42061.0,8.0,3108.0,71.0,3290.0,180.0,9707.0,271.0,10239.0,35.0,5040.0,104.0,5325.0,27.0,5098.0,157.0,5397.0,49.0,8191.0,312.0,8733.0,77.0,10350.0,378.0,10880.0,162.0,10614.0,274.0,11180.0,283.0,9081.0,195.0,9605.0,593.0,7600.0,236.0,8541.0,1270.0,4840.0,214.0,6340.0,1313.0,1103.0,284.0,2802.0,4600.0,74789.0,3015.0,82465.0,82465.0
Greenvale,11.0,2493.0,144.0,2679.0,266.0,5170.0,320.0,5799.0,64.0,2646.0,66.0,2927.0,21.0,2741.0,130.0,3003.0,70.0,5050.0,304.0,5511.0,86.0,4489.0,254.0,4961.0,271.0,4273.0,203.0,4833.0,490.0,3873.0,154.0,4660.0,492.0,1858.0,57.0,2485.0,361.0,620.0,12.0,1075.0,84.0,28.0,7.0,174.0,2776.0,33221.0,2108.0,38164.0,16.0,2242.0,104.0,2468.0,99.0,5064.0,300.0,5521.0,17.0,2614.0,106.0,2852.0,31.0,2733.0,104.0,2953.0,60.0,5112.0,241.0,5532.0,117.0,4888.0,280.0,5356.0,365.0,4721.0,224.0,5429.0,633.0,3678.0,141.0,4539.0,644.0,1834.0,63.0,2614.0,472.0,452.0,45.0,1080.0,180.0,32.0,6.0,258.0,3145.0,33433.0,2023.0,38679.0,33.0,4732.0,312.0,5113.0,449.0,10193.0,703.0,11390.0,123.0,5209.0,246.0,5636.0,92.0,5523.0,287.0,5970.0,211.0,10170.0,587.0,10995.0,257.0,9367.0,597.0,10277.0,721.0,9044.0,515.0,10286.0,1227.0,7615.0,388.0,9108.0,1194.0,3736.0,157.0,5120.0,912.0,1105.0,84.0,2201.0,324.0,83.0,14.0,518.0,5882.0,66706.0,4129.0,76831.0,76831.0
Hastings,27.0,1928.0,63.0,2057.0,261.0,3708.0,194.0,4272.0,78.0,2002.0,34.0,2218.0,19.0,1954.0,38.0,2093.0,35.0,3784.0,141.0,4083.0,62.0,3660.0,209.0,4016.0,92.0,3688.0,158.0,4039.0,121.0,3731.0,141.0,4114.0,204.0,2982.0,116.0,3421.0,207.0,1436.0,78.0,1848.0,167.0,228.0,25.0,506.0,1864.0,29204.0,1617.0,32613.0,14.0,1808.0,33.0,1898.0,116.0,3742.0,132.0,4076.0,40.0,1774.0,62.0,1958.0,11.0,1590.0,33.0,1709.0,61.0,3950.0,119.0,4242.0,56.0,3974.0,134.0,4302.0,118.0,4149.0,123.0,4585.0,212.0,4191.0,128.0,4609.0,284.0,3301.0,119.0,3781.0,396.0,1570.0,95.0,2096.0,330.0,274.0,44.0,733.0,2064.0,30316.0,1540.0,33936.0,44.0,3761.0,105.0,3961.0,409.0,7428.0,394.0,8383.0,130.0,3743.0,133.0,4128.0,53.0,3507.0,98.0,3799.0,135.0,7738.0,309.0,8240.0,177.0,7650.0,405.0,8325.0,283.0,7912.0,343.0,8612.0,421.0,7934.0,354.0,8710.0,576.0,6330.0,294.0,7218.0,723.0,3026.0,200.0,3991.0,557.0,555.0,98.0,1285.0,3864.0,59543.0,3146.0,66565.0,66565.0
Hawthorn,7.0,1319.0,30.0,1373.0,65.0,3616.0,82.0,3844.0,16.0,2209.0,36.0,2300.0,8.0,2674.0,64.0,2782.0,12.0,5216.0,178.0,5567.0,15.0,4097.0,116.0,4321.0,37.0,4085.0,93.0,4323.0,30.0,3578.0,57.0,3764.0,76.0,2762.0,64.0,2969.0,230.0,1391.0,25.0,1771.0,298.0,304.0,20.0,706.0,1166.0,31175.0,1237.0,33629.0,5.0,1352.0,19.0,1377.0,34.0,3458.0,55.0,3653.0,10.0,2165.0,40.0,2306.0,9.0,2748.0,72.0,2900.0,32.0,5534.0,162.0,5847.0,11.0,4594.0,100.0,4759.0,32.0,4750.0,73.0,4953.0,71.0,3930.0,102.0,4170.0,121.0,3229.0,66.0,3550.0,459.0,1658.0,57.0,2232.0,702.0,408.0,50.0,1270.0,1894.0,33861.0,1325.0,37020.0,12.0,2636.0,77.0,2768.0,129.0,7096.0,180.0,7499.0,30.0,4373.0,119.0,4583.0,23.0,5397.0,178.0,5708.0,73.0,10756.0,438.0,11248.0,33.0,8697.0,342.0,9035.0,88.0,8818.0,235.0,9283.0,153.0,7498.0,194.0,7960.0,229.0,5995.0,192.0,6497.0,741.0,3092.0,141.0,4053.0,1136.0,778.0,83.0,2013.0,3056.0,65039.0,2617.0,70669.0,70669.0
Ivanhoe,4.0,1701.0,21.0,1797.0,109.0,3603.0,138.0,3893.0,10.0,1792.0,35.0,1862.0,13.0,1877.0,81.0,1975.0,56.0,4237.0,192.0,4525.0,57.0,4374.0,153.0,4661.0,71.0,3962.0,86.0,4215.0,151.0,3450.0,93.0,3772.0,187.0,2546.0,60.0,2887.0,256.0,1270.0,9.0,1683.0,292.0,337.0,18.0,740.0,1709.0,29070.0,1296.0,32066.0,0.0,1672.0,21.0,1740.0,53.0,3670.0,117.0,3903.0,17.0,1639.0,25.0,1729.0,17.0,1857.0,35.0,1996.0,42.0,4439.0,156.0,4722.0,41.0,4591.0,135.0,4858.0,52.0,4264.0,101.0,4496.0,188.0,3827.0,86.0,4102.0,262.0,2744.0,74.0,3234.0,486.0,1556.0,43.0,2079.0,756.0,358.0,37.0,1257.0,2287.0,30646.0,1240.0,34111.0,7.0,3341.0,65.0,3496.0,181.0,7391.0,288.0,7873.0,58.0,3381.0,88.0,3633.0,49.0,3706.0,152.0,3945.0,129.0,8721.0,382.0,9252.0,117.0,8960.0,365.0,9482.0,181.0,8228.0,239.0,8768.0,363.0,7223.0,237.0,7909.0,547.0,5283.0,179.0,6097.0,789.0,2820.0,78.0,3685.0,1098.0,742.0,66.0,1991.0,4003.0,59741.0,2499.0,66215.0,66215.0
Kalkallo,25.0,4606.0,248.0,4959.0,381.0,7281.0,393.0,8205.0,49.0,2440.0,96.0,2797.0,34.0,2921.0,178.0,3151.0,54.0,8074.0,385.0,8661.0,91.0,8474.0,365.0,9087.0,176.0,4281.0,163.0,4878.0,294.0,2934.0,119.0,3486.0,266.0,1525.0,51.0,1956.0,173.0,359.0,21.0,650.0,43.0,43.0,10.0,106.0,2224.0,43212.0,2620.0,48079.0,9.0,4379.0,225.0,4737.0,124.0,6992.0,421.0,7665.0,31.0,2417.0,82.0,2657.0,4.0,2648.0,108.0,2820.0,44.0,9100.0,424.0,9708.0,122.0,7924.0,331.0,8565.0,276.0,4189.0,151.0,4808.0,356.0,3019.0,112.0,3627.0,408.0,1533.0,44.0,2051.0,249.0,317.0,26.0,744.0,102.0,36.0,30.0,181.0,2281.0,42624.0,2600.0,47497.0,40.0,8974.0,542.0,9690.0,614.0,14338.0,905.0,15861.0,131.0,4878.0,267.0,5350.0,64.0,5515.0,295.0,5972.0,174.0,17187.0,1017.0,18391.0,308.0,16373.0,844.0,17627.0,524.0,8513.0,434.0,9591.0,745.0,5876.0,260.0,7055.0,805.0,3039.0,138.0,4036.0,512.0,731.0,70.0,1419.0,169.0,90.0,35.0,328.0,4559.0,85771.0,5164.0,95542.0,95542.0
Kew,0.0,1344.0,22.0,1401.0,67.0,4500.0,66.0,4794.0,20.0,2820.0,44.0,2935.0,9.0,2553.0,24.0,2676.0,29.0,3706.0,81.0,3889.0,43.0,3693.0,66.0,3785.0,61.0,4735.0,112.0,4988.0,80.0,4383.0,80.0,4682.0,108.0,3105.0,53.0,3422.0,216.0,1621.0,40.0,2024.0,307.0,494.0,26.0,898.0,1408.0,32904.0,1140.0,35554.0,0.0,1228.0,12.0,1304.0,22.0,4420.0,77.0,4620.0,7.0,2605.0,44.0,2715.0,9.0,2345.0,40.0,2460.0,16.0,3633.0,60.0,3851.0,14.0,4500.0,66.0,4649.0,32.0,5627.0,144.0,5877.0,107.0,4789.0,71.0,5032.0,189.0,3522.0,81.0,3898.0,481.0,1988.0,87.0,2570.0,841.0,527.0,74.0,1567.0,2055.0,35160.0,1255.0,38501.0,0.0,2607.0,62.0,2743.0,107.0,8933.0,231.0,9380.0,35.0,5400.0,116.0,5684.0,34.0,4795.0,112.0,5062.0,64.0,7341.0,202.0,7682.0,70.0,8110.0,199.0,8446.0,124.0,10355.0,324.0,10878.0,223.0,9166.0,240.0,9684.0,399.0,6617.0,191.0,7235.0,778.0,3613.0,163.0,4611.0,1248.0,1056.0,97.0,2443.0,3436.0,68152.0,2347.0,73900.0,73900.0
Kororoit,27.0,2907.0,133.0,3174.0,276.0,6121.0,397.0,6852.0,35.0,2458.0,141.0,2763.0,18.0,2446.0,355.0,2948.0,55.0,5756.0,1080.0,7044.0,58.0,6754.0,896.0,7771.0,125.0,4790.0,420.0,5514.0,251.0,3259.0,228.0,3841.0,438.0,2194.0,110.0,2776.0,347.0,743.0,54.0,1240.0,91.0,83.0,29.0,222.0,2203.0,37642.0,4487.0,44336.0,0.0,2854.0,140.0,3094.0,116.0,6021.0,376.0,6553.0,25.0,2426.0,84.0,2619.0,6.0,2302.0,125.0,2457.0,32.0,6079.0,491.0,6732.0,90.0,6828.0,367.0,7456.0,178.0,4903.0,220.0,5474.0,254.0,3322.0,150.0,3876.0,570.0,2319.0,63.0,3085.0,453.0,686.0,44.0,1267.0,144.0,86.0,29.0,302.0,2440.0,37845.0,2686.0,42939.0,46.0,5716.0,351.0,6210.0,519.0,12125.0,796.0,13460.0,95.0,4879.0,304.0,5381.0,30.0,4769.0,547.0,5518.0,153.0,11844.0,1716.0,13707.0,204.0,13577.0,1380.0,15298.0,395.0,9790.0,816.0,11095.0,622.0,6544.0,433.0,7681.0,1092.0,4515.0,184.0,5938.0,911.0,1435.0,132.0,2490.0,285.0,188.0,62.0,583.0,4715.0,75458.0,7100.0,87228.0,87228.0
Lara,30.0,1859.0,99.0,2073.0,388.0,3496.0,239.0,4231.0,93.0,1911.0,100.0,2193.0,70.0,1979.0,186.0,2342.0,91.0,4683.0,765.0,5594.0,61.0,3721.0,557.0,4440.0,179.0,3781.0,348.0,4437.0,271.0,3441.0,268.0,4048.0,321.0,2750.0,105.0,3212.0,389.0,1165.0,64.0,1746.0,221.0,302.0,7.0,635.0,2616.0,29208.0,3215.0,35036.0,0.0,1893.0,112.0,2020.0,123.0,3682.0,255.0,4179.0,43.0,1886.0,83.0,2080.0,21.0,1949.0,76.0,2157.0,88.0,4698.0,284.0,5187.0,115.0,3987.0,229.0,4461.0,176.0,4010.0,216.0,4516.0,283.0,3595.0,93.0,4146.0,430.0,3042.0,131.0,3670.0,576.0,1378.0,70.0,2107.0,607.0,274.0,24.0,953.0,2978.0,30371.0,2116.0,35457.0,33.0,3644.0,226.0,4008.0,589.0,7114.0,592.0,8351.0,161.0,3802.0,238.0,4298.0,120.0,3988.0,319.0,4494.0,229.0,9390.0,1059.0,10753.0,213.0,7676.0,860.0,8896.0,450.0,7756.0,645.0,8914.0,624.0,7009.0,415.0,8142.0,817.0,5683.0,328.0,6936.0,1038.0,2609.0,170.0,3926.0,888.0,575.0,58.0,1635.0,5568.0,59538.0,5346.0,70442.0,70442.0
Laverton,10.0,3731.0,265.0,4094.0,262.0,5803.0,427.0,6631.0,18.0,1872.0,146.0,2183.0,19.0,3092.0,443.0,3677.0,54.0,9171.0,1161.0,10439.0,58.0,8544.0,835.0,9569.0,105.0,4363.0,366.0,4889.0,206.0,2926.0,204.0,3474.0,331.0,1890.0,115.0,2416.0,306.0,771.0,56.0,1214.0,163.0,143.0,4.0,352.0,2052.0,42406.0,4444.0,48986.0,8.0,3530.0,240.0,3857.0,29.0,5539.0,418.0,6111.0,19.0,1945.0,99.0,2143.0,20.0,2488.0,120.0,2753.0,45.0,8568.0,544.0,9291.0,89.0,7502.0,479.0,8178.0,118.0,4027.0,216.0,4493.0,328.0,3042.0,139.0,3568.0,414.0,2055.0,70.0,2782.0,608.0,749.0,51.0,1440.0,439.0,143.0,28.0,626.0,2529.0,39621.0,2995.0,45179.0,48.0,7205.0,548.0,7933.0,386.0,11410.0,898.0,12738.0,69.0,3831.0,324.0,4305.0,67.0,5660.0,669.0,6469.0,139.0,17756.0,1772.0,19722.0,204.0,16088.0,1410.0,17777.0,294.0,8378.0,656.0,9426.0,577.0,5981.0,431.0,7023.0,780.0,3985.0,326.0,5183.0,927.0,1566.0,129.0,2663.0,613.0,275.0,49.0,1020.0,4733.0,82036.0,7447.0,94165.0,94165.0
Lowan,3.0,1637.0,75.0,1806.0,205.0,3584.0,239.0,4123.0,46.0,1724.0,101.0,1951.0,26.0,1526.0,46.0,1692.0,63.0,3359.0,215.0,3727.0,66.0,3000.0,182.0,3390.0,93.0,3530.0,181.0,3966.0,199.0,4531.0,248.0,5166.0,332.0,4044.0,312.0,4704.0,324.0,1981.0,118.0,2584.0,247.0,406.0,74.0,833.0,2230.0,29309.0,2395.0,33926.0,0.0,1650.0,45.0,1832.0,50.0,3358.0,179.0,3757.0,22.0,1525.0,74.0,1729.0,7.0,1347.0,57.0,1510.0,52.0,3355.0,147.0,3669.0,46.0,3219.0,163.0,3586.0,126.0,3791.0,181.0,4280.0,266.0,4568.0,197.0,5201.0,335.0,3950.0,221.0,4647.0,419.0,2186.0,196.0,2928.0,620.0,511.0,185.0,1405.0,2515.0,29651.0,2243.0,34450.0,7.0,3284.0,180.0,3585.0,318.0,6963.0,483.0,7848.0,90.0,3262.0,233.0,3636.0,52.0,2878.0,143.0,3234.0,181.0,6676.0,425.0,7332.0,180.0,6200.0,382.0,6887.0,342.0,7352.0,463.0,8238.0,539.0,9053.0,576.0,10320.0,756.0,7948.0,562.0,9261.0,834.0,4206.0,426.0,5448.0,980.0,979.0,269.0,2348.0,4780.0,58876.0,4705.0,68431.0,68431.0
